 paso,E_prom_acum,M_prom_acum
       1,  -24.000000,    4.000000
       2,  -24.000000,    4.000000
       3,  -25.333333,    3.333333
       4,  -26.000000,    2.500000
       5,  -26.400000,    2.000000
       6,  -26.666667,    2.000000
       7,  -26.285714,    1.714286
       8,  -25.500000,    1.250000
       9,  -24.888889,    0.666667
      10,  -24.400000,    0.000000
      11,  -23.272727,   -0.363636
      12,  -22.333333,   -0.666667
      13,  -21.538462,   -0.769231
      14,  -21.142857,   -1.000000
      15,  -20.800000,   -1.333333
      16,  -20.500000,   -1.750000
      17,  -20.000000,   -2.000000
      18,  -19.333333,   -2.333333
      19,  -18.526316,   -2.736842
      20,  -17.800000,   -3.100000
      21,  -17.142857,   -3.333333
      22,  -16.363636,   -3.636364
      23,  -15.478261,   -3.826087
      24,  -14.666667,   -4.083333
      25,  -13.920000,   -4.240000
      26,  -13.230769,   -4.307692
      27,  -12.592593,   -4.444444
      28,  -11.857143,   -4.500000
      29,  -11.034483,   -4.620690
      30,  -10.133333,   -4.800000
      31,   -9.161290,   -5.032258
      32,   -8.250000,   -5.250000
      33,   -7.393939,   -5.515152
      34,   -6.470588,   -5.705882
      35,   -5.600000,   -5.942857
      36,   -4.777778,   -6.111111
      37,   -4.000000,   -6.270270
      38,   -3.263158,   -6.421053
      39,   -2.564103,   -6.564103
      40,   -1.900000,   -6.700000
      41,   -1.268293,   -6.829268
      42,   -0.571429,   -7.000000
      43,    0.093023,   -7.162791
      44,    0.727273,   -7.318182
      45,    1.422222,   -7.422222
      46,    2.173913,   -7.478261
      47,    2.893617,   -7.531915
      48,    3.583333,   -7.583333
      49,    4.244898,   -7.591837
      50,    4.880000,   -7.640000
      51,    5.568627,   -7.725490
      52,    6.307692,   -7.846154
      53,    7.094340,   -7.924528
      54,    7.851852,   -8.000000
      55,    8.727273,   -8.109091
      56,    9.571429,   -8.250000
      57,   10.385965,   -8.385965
      58,   11.172414,   -8.551724
      59,   12.067797,   -8.677966
      60,   13.066667,   -8.833333
      61,   14.032787,   -8.983607
      62,   14.967742,   -9.096774
      63,   15.873016,   -9.206349
      64,   16.812500,   -9.281250
      65,   17.784615,   -9.323077
      66,   18.787879,   -9.333333
      67,   19.761194,   -9.343284
      68,   20.705882,   -9.323529
      69,   21.739130,   -9.275362
      70,   22.800000,   -9.257143
      71,   23.830986,   -9.211268
      72,   24.888889,   -9.194444
      73,   25.972603,   -9.150685
      74,   27.135135,   -9.081081
      75,   28.320000,   -9.040000
      76,   29.473684,   -9.026316
      77,   30.597403,   -8.987013
      78,   31.692308,   -8.923077
      79,   32.759494,   -8.860759
      80,   33.800000,   -8.775000
      81,   34.814815,   -8.716049
      82,   35.804878,   -8.682927
      83,   36.722892,   -8.626506
      84,   37.619048,   -8.571429
      85,   38.541176,   -8.541176
      86,   39.441860,   -8.511628
      87,   40.321839,   -8.482759
      88,   41.181818,   -8.477273
      89,   42.067416,   -8.494382
      90,   42.977778,   -8.533333
      91,   43.912088,   -8.593407
      92,   44.826087,   -8.652174
      93,   45.720430,   -8.731183
      94,   46.595745,   -8.808511
      95,   47.452632,   -8.884211
      96,   48.291667,   -8.979167
      97,   49.113402,   -9.092784
      98,   49.959184,   -9.224490
      99,   50.828283,   -9.333333
     100,   51.680000,   -9.440000
     101,   52.514851,   -9.524752
     102,   53.372549,   -9.588235
     103,   54.213592,   -9.650485
     104,   55.038462,   -9.730769
     105,   55.847619,   -9.809524
     106,   56.716981,   -9.905660
     107,   57.532710,  -10.018692
     108,   58.333333,  -10.129630
     109,   59.119266,  -10.256881
     110,   59.890909,  -10.381818
     111,   60.684685,  -10.522523
     112,   61.464286,  -10.642857
     113,   62.230088,  -10.743363
     114,   62.982456,  -10.824561
     115,   63.721739,  -10.904348
     116,   64.482759,  -10.965517
     117,   65.230769,  -11.025641
     118,   65.966102,  -11.067797
     119,   66.689076,  -11.126050
     120,   67.400000,  -11.166667
     121,   68.132231,  -11.223140
     122,   68.852459,  -11.262295
     123,   69.593496,  -11.317073
     124,   70.322581,  -11.370968
     125,   71.040000,  -11.424000
     126,   71.746032,  -11.476190
     127,   72.472441,  -11.543307
     128,   73.218750,  -11.625000
     129,   73.953488,  -11.689922
     130,   74.676923,  -11.753846
     131,   75.419847,  -11.801527
     132,   76.151515,  -11.833333
     133,   76.872180,  -11.864662
     134,   77.611940,  -11.910448
     135,   78.340741,  -11.940741
     136,   79.058824,  -11.985294
     137,   79.766423,  -12.029197
     138,   80.492754,  -12.057971
     139,   81.237410,  -12.071942
     140,   81.971429,  -12.071429
     141,   82.723404,  -12.056738
     142,   83.464789,  -12.042254
     143,   84.223776,  -12.041958
     144,   85.000000,  -12.027778
     145,   85.793103,  -12.000000
     146,   86.575342,  -11.972603
     147,   87.319728,  -11.959184
     148,   88.081081,  -11.932432
     149,   88.832215,  -11.919463
     150,   89.600000,  -11.920000
     151,   90.357616,  -11.907285
     152,   91.105263,  -11.881579
     153,   91.843137,  -11.843137
     154,   92.571429,  -11.792208
     155,   93.290323,  -11.741935
     156,   94.000000,  -11.705128
     157,   94.700637,  -11.668790
     158,   95.392405,  -11.645570
     159,   96.100629,  -11.610063
     160,   96.800000,  -11.575000
     161,   97.490683,  -11.540373
     162,   98.172840,  -11.518519
     163,   98.895706,  -11.509202
     164,   99.609756,  -11.512195
     165,  100.290909,  -11.503030
     166,  100.963855,  -11.506024
     167,  101.628743,  -11.497006
     168,  102.309524,  -11.476190
     169,  103.005917,  -11.443787
     170,  103.717647,  -11.423529
     171,  104.421053,  -11.415205
     172,  105.116279,  -11.418605
     173,  105.803468,  -11.421965
     174,  106.482759,  -11.425287
     175,  107.154286,  -11.417143
     176,  107.818182,  -11.397727
     177,  108.474576,  -11.378531
     178,  109.146067,  -11.348315
     179,  109.810056,  -11.307263
     180,  110.466667,  -11.266667
     181,  111.116022,  -11.215470
     182,  111.780220,  -11.153846
     183,  112.459016,  -11.103825
     184,  113.130435,  -11.054348
     185,  113.794595,  -11.005405
     186,  114.451613,  -10.956989
     187,  115.122995,  -10.919786
     188,  115.787234,  -10.893617
     189,  116.444444,  -10.867725
     190,  117.136842,  -10.831579
     191,  117.821990,  -10.785340
     192,  118.520833,  -10.729167
     193,  119.212435,  -10.673575
     194,  119.896907,  -10.618557
     195,  120.553846,  -10.574359
     196,  121.204082,  -10.540816
     197,  121.847716,  -10.507614
     198,  122.484848,  -10.484848
     199,  123.115578,  -10.462312
     200,  123.760000,  -10.450000
     201,  124.437811,  -10.447761
     202,  125.128713,  -10.435644
     203,  125.812808,  -10.423645
     204,  126.490196,  -10.411765
     205,  127.160976,  -10.409756
     206,  127.844660,  -10.398058
     207,  128.521739,  -10.386473
     208,  129.192308,  -10.375000
     209,  129.818182,  -10.354067
     210,  130.438095,  -10.342857
     211,  131.052133,  -10.341232
     212,  131.660377,  -10.349057
     213,  132.281690,  -10.347418
     214,  132.897196,  -10.355140
     215,  133.525581,  -10.353488
     216,  134.166667,  -10.342593
     217,  134.801843,  -10.322581
     218,  135.431193,  -10.311927
     219,  136.054795,  -10.310502
     220,  136.672727,  -10.309091
     221,  137.285068,  -10.307692
     222,  137.891892,  -10.297297
     223,  138.493274,  -10.278027
     224,  139.089286,  -10.267857
     225,  139.680000,  -10.257778
     226,  140.265487,  -10.247788
     227,  140.845815,  -10.237885
     228,  141.421053,  -10.219298
     229,  141.991266,  -10.200873
     230,  142.556522,  -10.173913
     231,  143.116883,  -10.147186
     232,  143.655172,  -10.129310
     233,  144.188841,  -10.120172
     234,  144.717949,  -10.111111
     235,  145.242553,  -10.110638
     236,  145.762712,  -10.101695
     237,  146.295359,  -10.084388
     238,  146.823529,  -10.067227
     239,  147.347280,  -10.050209
     240,  147.866667,  -10.025000
     241,  148.381743,  -10.008299
     242,  148.892562,   -9.991736
     243,  149.415638,   -9.967078
     244,  149.934426,   -9.934426
     245,  150.448980,   -9.910204
     246,  150.959350,   -9.886179
     247,  151.465587,   -9.862348
     248,  151.983871,   -9.830645
     249,  152.497992,   -9.807229
     250,  153.008000,   -9.776000
     251,  153.513944,   -9.737052
     252,  154.015873,   -9.698413
     253,  154.513834,   -9.652174
     254,  155.007874,   -9.598425
     255,  155.498039,   -9.537255
     256,  156.000000,   -9.468750
     257,  156.513619,   -9.392996
     258,  157.023256,   -9.310078
     259,  157.528958,   -9.235521
     260,  158.030769,   -9.161538
     261,  158.528736,   -9.088123
     262,  159.022901,   -9.022901
     263,  159.513308,   -8.958175
     264,  160.000000,   -8.893939
     265,  160.483019,   -8.830189
     266,  160.962406,   -8.774436
     267,  161.438202,   -8.726592
     268,  161.910448,   -8.679104
     269,  162.379182,   -8.631970
     270,  162.844444,   -8.585185
