 paso,E_prom_acum,M_prom_acum
       1,  -12.000000,    8.000000
       2,  -12.000000,    7.000000
       3,  -13.333333,    6.000000
       4,  -14.000000,    5.000000
       5,  -14.400000,    4.400000
       6,  -15.333333,    4.333333
       7,  -16.000000,    4.285714
       8,  -17.000000,    4.000000
       9,  -17.777778,    4.000000
      10,  -18.400000,    4.000000
      11,  -18.909091,    4.181818
      12,  -19.333333,    4.166667
      13,  -20.000000,    4.307692
      14,  -20.857143,    4.571429
      15,  -21.600000,    4.800000
      16,  -22.500000,    4.875000
      17,  -23.294118,    4.941176
      18,  -24.000000,    5.000000
      19,  -24.842105,    4.947368
      20,  -25.600000,    4.800000
      21,  -26.285714,    4.571429
      22,  -26.909091,    4.272727
      23,  -27.478261,    3.913043
      24,  -28.166667,    3.500000
      25,  -28.800000,    3.040000
      26,  -29.538462,    2.692308
      27,  -30.518519,    2.444444
      28,  -31.428571,    2.285714
      29,  -32.275862,    2.068966
      30,  -33.066667,    1.866667
      31,  -33.806452,    1.612903
      32,  -34.500000,    1.375000
      33,  -35.151515,    1.090909
      34,  -35.882353,    0.882353
      35,  -36.571429,    0.628571
      36,  -37.333333,    0.444444
      37,  -38.054054,    0.216216
      38,  -38.842105,   -0.052632
      39,  -39.589744,   -0.256410
      40,  -40.300000,   -0.450000
      41,  -40.975610,   -0.634146
      42,  -41.619048,   -0.857143
      43,  -42.325581,   -1.116279
      44,  -43.000000,   -1.318182
      45,  -43.733333,   -1.466667
      46,  -44.434783,   -1.565217
      47,  -45.106383,   -1.659574
      48,  -45.833333,   -1.791667
      49,  -46.530612,   -1.918367
      50,  -47.280000,   -2.080000
      51,  -48.000000,   -2.196078
      52,  -48.692308,   -2.269231
      53,  -49.358491,   -2.339623
      54,  -50.000000,   -2.407407
      55,  -50.618182,   -2.436364
      56,  -51.214286,   -2.464286
      57,  -51.789474,   -2.526316
      58,  -52.413793,   -2.551724
      59,  -53.016949,   -2.576271
      60,  -53.600000,   -2.633333
      61,  -54.295082,   -2.721311
      62,  -55.032258,   -2.838710
