 paso,E_prom_acum,M_prom_acum
       1,  -76.000000,   22.000000
       2,  -76.000000,   21.000000
       3,  -74.666667,   21.333333
       4,  -74.000000,   21.500000
       5,  -73.600000,   21.200000
       6,  -72.000000,   21.333333
       7,  -70.857143,   21.714286
       8,  -70.000000,   22.250000
       9,  -69.333333,   22.666667
      10,  -68.800000,   23.000000
      11,  -67.636364,   23.454545
      12,  -66.666667,   24.000000
      13,  -65.538462,   24.615385
      14,  -64.571429,   25.142857
      15,  -63.733333,   25.600000
      16,  -62.750000,   25.875000
      17,  -61.647059,   26.000000
      18,  -60.666667,   26.111111
      19,  -59.789474,   26.210526
      20,  -58.800000,   26.400000
      21,  -57.523810,   26.476190
      22,  -56.181818,   26.454545
      23,  -54.956522,   26.521739
      24,  -53.833333,   26.666667
      25,  -52.800000,   26.800000
      26,  -51.692308,   26.846154
      27,  -50.666667,   26.814815
      28,  -49.714286,   26.785714
      29,  -48.551724,   26.827586
      30,  -47.466667,   26.933333
      31,  -46.451613,   27.096774
      32,  -45.500000,   27.187500
      33,  -44.606061,   27.272727
      34,  -43.647059,   27.411765
      35,  -42.628571,   27.600000
      36,  -41.666667,   27.777778
      37,  -40.756757,   27.891892
      38,  -39.894737,   28.052632
      39,  -38.871795,   28.153846
      40,  -37.900000,   28.200000
      41,  -36.975610,   28.292683
      42,  -36.095238,   28.380952
      43,  -35.255814,   28.465116
      44,  -34.454545,   28.500000
      45,  -33.688889,   28.488889
      46,  -32.956522,   28.521739
      47,  -32.255319,   28.595745
      48,  -31.500000,   28.708333
      49,  -30.693878,   28.857143
      50,  -29.920000,   28.960000
      51,  -29.176471,   29.019608
      52,  -28.461538,   29.038462
      53,  -27.773585,   29.018868
      54,  -27.037037,   28.962963
      55,  -26.327273,   28.872727
      56,  -25.642857,   28.785714
      57,  -24.982456,   28.666667
      58,  -24.344828,   28.551724
      59,  -23.728814,   28.474576
      60,  -23.133333,   28.400000
      61,  -22.557377,   28.360656
      62,  -21.935484,   28.290323
      63,  -21.333333,   28.222222
      64,  -20.750000,   28.156250
      65,  -20.184615,   28.092308
      66,  -19.515152,   28.060606
      67,  -18.865672,   28.059701
      68,  -18.235294,   28.058824
      69,  -17.623188,   28.086957
      70,  -17.028571,   28.085714
      71,  -16.450704,   28.084507
      72,  -15.888889,   28.083333
      73,  -15.342466,   28.082192
      74,  -14.810811,   28.081081
      75,  -14.293333,   28.053333
      76,  -13.789474,   28.026316
      77,  -13.298701,   27.974026
      78,  -12.820513,   27.923077
      79,  -12.354430,   27.873418
      80,  -11.900000,   27.850000
      81,  -11.456790,   27.827160
      82,  -11.024390,   27.780488
      83,  -10.602410,   27.734940
      84,  -10.190476,   27.690476
      85,   -9.788235,   27.647059
      86,   -9.395349,   27.581395
      87,   -9.011494,   27.494253
      88,   -8.636364,   27.409091
      89,   -8.269663,   27.325843
      90,   -7.866667,   27.222222
      91,   -7.472527,   27.142857
      92,   -7.043478,   27.043478
      93,   -6.623656,   26.946237
      94,   -6.170213,   26.872340
      95,   -5.726316,   26.778947
      96,   -5.291667,   26.666667
      97,   -4.865979,   26.577320
      98,   -4.408163,   26.510204
      99,   -3.959596,   26.424242
     100,   -3.480000,   26.320000
     101,   -3.009901,   26.217822
     102,   -2.549020,   26.117647
     103,   -2.097087,   26.019417
     104,   -1.653846,   25.923077
     105,   -1.219048,   25.847619
