 paso,E_prom_acum,M_prom_acum
       1,  -44.000000,  -12.000000
       2,  -44.000000,  -12.000000
       3,  -42.666667,  -12.666667
       4,  -42.000000,  -13.500000
       5,  -41.600000,  -14.400000
       6,  -40.666667,  -15.333333
       7,  -39.428571,  -15.714286
       8,  -38.000000,  -15.750000
       9,  -36.888889,  -16.000000
      10,  -36.000000,  -16.000000
      11,  -34.545455,  -16.181818
      12,  -33.333333,  -16.333333
      13,  -32.307692,  -16.307692
      14,  -31.428571,  -16.285714
      15,  -30.400000,  -16.133333
      16,  -29.000000,  -16.125000
      17,  -27.764706,  -16.235294
      18,  -26.666667,  -16.444444
      19,  -25.473684,  -16.736842
      20,  -24.400000,  -17.000000
      21,  -23.428571,  -17.333333
      22,  -22.545455,  -17.636364
      23,  -21.739130,  -17.826087
      24,  -21.000000,  -18.000000
      25,  -20.320000,  -18.240000
      26,  -19.692308,  -18.384615
      27,  -19.111111,  -18.518519
      28,  -18.571429,  -18.642857
      29,  -18.206897,  -18.827586
      30,  -17.866667,  -19.000000
      31,  -17.419355,  -19.225806
      32,  -17.000000,  -19.437500
      33,  -16.606061,  -19.696970
      34,  -16.117647,  -20.000000
      35,  -15.771429,  -20.228571
      36,  -15.444444,  -20.388889
      37,  -15.243243,  -20.486486
      38,  -15.052632,  -20.631579
      39,  -14.769231,  -20.717949
      40,  -14.500000,  -20.750000
      41,  -14.341463,  -20.731707
      42,  -14.285714,  -20.761905
      43,  -14.232558,  -20.837209
      44,  -14.181818,  -20.954545
      45,  -14.044444,  -21.022222
      46,  -13.913043,  -21.130435
      47,  -13.702128,  -21.191489
      48,  -13.500000,  -21.250000
      49,  -13.306122,  -21.346939
      50,  -13.120000,  -21.440000
      51,  -12.784314,  -21.490196
      52,  -12.384615,  -21.576923
      53,  -12.075472,  -21.622642
      54,  -11.777778,  -21.629630
      55,  -11.418182,  -21.600000
      56,  -11.071429,  -21.535714
      57,  -10.736842,  -21.508772
      58,  -10.344828,  -21.448276
      59,   -9.966102,  -21.423729
      60,   -9.533333,  -21.366667
      61,   -9.114754,  -21.344262
      62,   -8.709677,  -21.322581
      63,   -8.190476,  -21.333333
      64,   -7.687500,  -21.343750
      65,   -7.200000,  -21.353846
      66,   -6.727273,  -21.393939
      67,   -6.268657,  -21.432836
      68,   -5.823529,  -21.470588
      69,   -5.391304,  -21.536232
      70,   -4.971429,  -21.571429
      71,   -4.450704,  -21.633803
      72,   -3.944444,  -21.666667
      73,   -3.452055,  -21.698630
      74,   -2.918919,  -21.756757
      75,   -2.400000,  -21.786667
      76,   -1.947368,  -21.789474
      77,   -1.558442,  -21.818182
      78,   -1.230769,  -21.820513
      79,   -0.911392,  -21.797468
      80,   -0.550000,  -21.750000
      81,   -0.197531,  -21.679012
      82,    0.146341,  -21.585366
      83,    0.433735,  -21.518072
      84,    0.714286,  -21.452381
      85,    0.988235,  -21.411765
      86,    1.348837,  -21.395349
      87,    1.747126,  -21.402299
      88,    2.136364,  -21.409091
      89,    2.561798,  -21.393258
      90,    2.977778,  -21.400000
      91,    3.340659,  -21.384615
      92,    3.695652,  -21.347826
      93,    4.129032,  -21.333333
