 paso,E_prom_acum,M_prom_acum
       1,  -32.000000,  -34.000000
       2,  -32.000000,  -34.000000
       3,  -32.000000,  -34.000000
       4,  -32.000000,  -34.000000
       5,  -32.000000,  -34.000000
       6,  -32.666667,  -33.666667
       7,  -33.142857,  -33.714286
       8,  -33.500000,  -34.000000
       9,  -34.222222,  -34.000000
      10,  -34.800000,  -34.000000
      11,  -35.272727,  -34.181818
      12,  -36.333333,  -34.500000
      13,  -37.846154,  -34.615385
      14,  -39.428571,  -34.571429
      15,  -41.066667,  -34.666667
      16,  -42.500000,  -34.750000
      17,  -44.000000,  -34.941176
      18,  -45.333333,  -35.222222
      19,  -46.947368,  -35.368421
      20,  -48.400000,  -35.600000
      21,  -49.904762,  -35.904762
      22,  -51.272727,  -36.181818
      23,  -52.521739,  -36.521739
      24,  -53.666667,  -36.916667
      25,  -54.720000,  -37.200000
      26,  -55.846154,  -37.538462
      27,  -56.888889,  -37.925926
      28,  -58.000000,  -38.214286
      29,  -59.172414,  -38.551724
      30,  -60.400000,  -38.800000
      31,  -61.548387,  -38.967742
      32,  -62.625000,  -39.062500
      33,  -63.757576,  -39.212121
      34,  -64.941176,  -39.411765
      35,  -66.171429,  -39.657143
      36,  -67.333333,  -39.833333
      37,  -68.432432,  -39.945946
      38,  -69.473684,  -40.105263
      39,  -70.461538,  -40.205128
      40,  -71.400000,  -40.300000
      41,  -72.292683,  -40.341463
      42,  -73.142857,  -40.380952
      43,  -73.953488,  -40.418605
      44,  -74.727273,  -40.500000
      45,  -75.466667,  -40.622222
      46,  -76.173913,  -40.695652
      47,  -76.851064,  -40.723404
      48,  -77.583333,  -40.708333
      49,  -78.285714,  -40.693878
      50,  -78.960000,  -40.680000
      51,  -79.686275,  -40.705882
      52,  -80.461538,  -40.769231
      53,  -81.358491,  -40.867925
      54,  -82.222222,  -40.925926
      55,  -83.054545,  -40.945455
      56,  -83.857143,  -40.928571
      57,  -84.631579,  -40.947368
      58,  -85.379310,  -41.000000
      59,  -86.101695,  -41.016949
      60,  -86.800000,  -41.066667
      61,  -87.540984,  -41.081967
      62,  -88.258065,  -41.096774
      63,  -88.952381,  -41.142857
      64,  -89.625000,  -41.218750
      65,  -90.338462,  -41.261538
      66,  -91.030303,  -41.272727
      67,  -91.701493,  -41.283582
      68,  -92.352941,  -41.323529
      69,  -92.985507,  -41.333333
      70,  -93.657143,  -41.371429
      71,  -94.309859,  -41.408451
      72,  -95.055556,  -41.416667
      73,  -95.780822,  -41.424658
      74,  -96.540541,  -41.459459
      75,  -97.280000,  -41.493333
      76,  -98.000000,  -41.526316
      77,  -98.701299,  -41.532468
      78,  -99.435897,  -41.564103
      79, -100.151899,  -41.594937
      80, -100.850000,  -41.625000
