 paso,E_prom_acum,M_prom_acum
       1,  -28.000000,  -50.000000
       2,  -28.000000,  -49.000000
       3,  -26.666667,  -49.333333
       4,  -26.000000,  -49.000000
       5,  -25.600000,  -48.800000
       6,  -26.000000,  -49.000000
       7,  -25.714286,  -49.428571
       8,  -25.000000,  -50.000000
       9,  -24.444444,  -50.666667
      10,  -24.400000,  -51.000000
      11,  -24.363636,  -51.090909
      12,  -24.333333,  -51.000000
      13,  -24.307692,  -51.076923
      14,  -24.571429,  -51.000000
      15,  -24.800000,  -51.066667
      16,  -25.000000,  -51.125000
      17,  -25.411765,  -51.294118
      18,  -25.777778,  -51.555556
      19,  -26.315789,  -51.684211
      20,  -26.600000,  -51.700000
      21,  -26.476190,  -51.809524
      22,  -26.363636,  -52.000000
      23,  -26.260870,  -52.173913
      24,  -26.166667,  -52.416667
      25,  -26.080000,  -52.720000
      26,  -26.000000,  -52.923077
      27,  -25.777778,  -53.185185
      28,  -25.571429,  -53.500000
      29,  -25.241379,  -53.724138
      30,  -24.933333,  -53.866667
      31,  -24.774194,  -54.064516
      32,  -24.625000,  -54.187500
      33,  -24.242424,  -54.363636
      34,  -23.882353,  -54.529412
      35,  -23.428571,  -54.628571
      36,  -23.111111,  -54.666667
      37,  -22.810811,  -54.648649
      38,  -22.526316,  -54.578947
      39,  -22.153846,  -54.564103
      40,  -21.800000,  -54.550000
      41,  -21.365854,  -54.487805
      42,  -20.857143,  -54.476190
      43,  -20.372093,  -54.465116
      44,  -20.000000,  -54.500000
      45,  -19.644444,  -54.488889
      46,  -19.217391,  -54.434783
      47,  -18.723404,  -54.425532
      48,  -18.250000,  -54.416667
      49,  -17.795918,  -54.448980
      50,  -17.360000,  -54.520000
      51,  -16.941176,  -54.549020
      52,  -16.538462,  -54.615385
      53,  -16.150943,  -54.679245
      54,  -15.703704,  -54.703704
      55,  -15.127273,  -54.763636
      56,  -14.500000,  -54.857143
      57,  -13.894737,  -54.982456
      58,  -13.379310,  -55.068966
      59,  -12.881356,  -55.186441
      60,  -12.466667,  -55.266667
      61,  -12.065574,  -55.344262
      62,  -11.677419,  -55.419355
      63,  -11.365079,  -55.460317
      64,  -11.000000,  -55.468750
      65,  -10.646154,  -55.476923
      66,  -10.303030,  -55.515152
      67,   -9.910448,  -55.582090
      68,   -9.529412,  -55.647059
      69,   -9.101449,  -55.739130
      70,   -8.628571,  -55.800000
      71,   -8.056338,  -55.887324
      72,   -7.444444,  -56.000000
      73,   -6.904110,  -56.082192
      74,   -6.378378,  -56.189189
      75,   -5.866667,  -56.266667
      76,   -5.368421,  -56.368421
      77,   -4.883117,  -56.441558
      78,   -4.410256,  -56.512821
      79,   -3.898734,  -56.607595
      80,   -3.300000,  -56.675000
      81,   -2.716049,  -56.765432
      82,   -2.146341,  -56.853659
      83,   -1.493976,  -56.963855
      84,   -0.857143,  -57.095238
      85,   -0.282353,  -57.247059
      86,    0.279070,  -57.418605
      87,    0.735632,  -57.563218
      88,    1.272727,  -57.727273
      89,    1.797753,  -57.865169
      90,    2.222222,  -57.977778
      91,    2.681319,  -58.109890
      92,    3.173913,  -58.217391
      93,    3.655914,  -58.301075
      94,    4.170213,  -58.404255
      95,    4.673684,  -58.484211
      96,    5.166667,  -58.583333
      97,    5.608247,  -58.701031
      98,    6.040816,  -58.816327
      99,    6.464646,  -58.949495
     100,    6.840000,  -59.100000
     101,    7.247525,  -59.267327
     102,    7.725490,  -59.450980
     103,    8.194175,  -59.650485
     104,    8.653846,  -59.846154
     105,    9.066667,  -60.057143
     106,    9.509434,  -60.283019
     107,    9.869159,  -60.485981
     108,   10.222222,  -60.703704
     109,   10.568807,  -60.917431
     110,   10.909091,  -61.145455
     111,   11.243243,  -61.369369
     112,   11.571429,  -61.589286
     113,   11.858407,  -61.823009
     114,   12.140351,  -62.052632
     115,   12.417391,  -62.295652
     116,   12.655172,  -62.517241
     117,   12.888889,  -62.717949
     118,   13.084746,  -62.932203
     119,   13.277311,  -63.159664
     120,   13.433333,  -63.400000
     121,   13.586777,  -63.636364
     122,   13.737705,  -63.868852
     123,   13.886179,  -64.113821
     124,   14.032258,  -64.338710
     125,   14.208000,  -64.576000
     126,   14.380952,  -64.793651
     127,   14.614173,  -65.023622
     128,   14.812500,  -65.234375
     129,   15.007752,  -65.457364
     130,   15.200000,  -65.692308
     131,   15.389313,  -65.908397
     132,   15.545455,  -66.106061
     133,   15.729323,  -66.285714
     134,   15.910448,  -66.462687
     135,   16.148148,  -66.622222
     136,   16.382353,  -66.764706
     137,   16.613139,  -66.919708
     138,   16.869565,  -67.086957
     139,   17.151079,  -67.266187
     140,   17.428571,  -67.442857
     141,   17.702128,  -67.602837
     142,   18.000000,  -67.774648
     143,   18.349650,  -67.958042
     144,   18.722222,  -68.152778
     145,   19.117241,  -68.358621
     146,   19.534247,  -68.547945
     147,   19.945578,  -68.721088
     148,   20.351351,  -68.878378
     149,   20.778523,  -69.046980
     150,   21.200000,  -69.226667
     151,   21.589404,  -69.390728
     152,   21.973684,  -69.565789
     153,   22.379085,  -69.751634
     154,   22.779221,  -69.948052
     155,   23.200000,  -70.129032
     156,   23.641026,  -70.320513
     157,   24.076433,  -70.496815
     158,   24.531646,  -70.658228
     159,   24.981132,  -70.805031
     160,   25.400000,  -70.937500
     161,   25.813665,  -71.055901
     162,   26.222222,  -71.160494
     163,   26.625767,  -71.251534
     164,   27.024390,  -71.353659
     165,   27.418182,  -71.466667
     166,   27.807229,  -71.566265
     167,   28.191617,  -71.676647
     168,   28.571429,  -71.785714
     169,   28.946746,  -71.893491
     170,   29.317647,  -71.988235
     171,   29.684211,  -72.081871
     172,   30.046512,  -72.174419
     173,   30.404624,  -72.277457
     174,   30.758621,  -72.367816
     175,   31.108571,  -72.445714
     176,   31.431818,  -72.511364
     177,   31.751412,  -72.576271
     178,   32.044944,  -72.651685
     179,   32.357542,  -72.737430
     180,   32.644444,  -72.811111
     181,   32.972376,  -72.872928
     182,   33.296703,  -72.934066
     183,   33.617486,  -72.994536
     184,   33.956522,  -73.065217
     185,   34.313514,  -73.124324
     186,   34.666667,  -73.172043
     187,   34.973262,  -73.208556
     188,   35.234043,  -73.234043
     189,   35.492063,  -73.259259
     190,   35.747368,  -73.284211
     191,   36.000000,  -73.298429
     192,   36.250000,  -73.322917
     193,   36.497409,  -73.357513
     194,   36.783505,  -73.402062
     195,   37.066667,  -73.446154
     196,   37.346939,  -73.500000
     197,   37.624365,  -73.553299
     198,   37.898990,  -73.595960
     199,   38.170854,  -73.638191
     200,   38.440000,  -73.680000
     201,   38.706468,  -73.721393
     202,   38.970297,  -73.762376
     203,   39.231527,  -73.802956
     204,   39.490196,  -73.852941
     205,   39.746341,  -73.912195
     206,   40.000000,  -73.970874
     207,   40.251208,  -74.038647
     208,   40.519231,  -74.096154
     209,   40.803828,  -74.162679
     210,   41.066667,  -74.219048
     211,   41.327014,  -74.274882
     212,   41.584906,  -74.330189
     213,   41.840376,  -74.375587
     214,   42.093458,  -74.411215
     215,   42.344186,  -74.437209
     216,   42.574074,  -74.472222
     217,   42.801843,  -74.497696
     218,   43.027523,  -74.532110
     219,   43.287671,  -74.557078
     220,   43.563636,  -74.590909
     221,   43.837104,  -74.633484
     222,   44.108108,  -74.675676
     223,   44.394619,  -74.708520
     224,   44.696429,  -74.732143
     225,   45.013333,  -74.764444
     226,   45.327434,  -74.796460
     227,   45.638767,  -74.819383
     228,   45.982456,  -74.850877
     229,   46.305677,  -74.873362
     230,   46.626087,  -74.904348
     231,   46.943723,  -74.935065
     232,   47.258621,  -74.956897
     233,   47.553648,  -74.969957
     234,   47.863248,  -74.974359
     235,   48.170213,  -74.978723
     236,   48.474576,  -74.983051
     237,   48.776371,  -74.987342
     238,   49.058824,  -75.000000
     239,   49.338912,  -75.020921
     240,   49.633333,  -75.050000
     241,   49.925311,  -75.078838
     242,   50.214876,  -75.115702
     243,   50.502058,  -75.144033
     244,   50.786885,  -75.163934
     245,   51.069388,  -75.175510
     246,   51.349593,  -75.186992
     247,   51.627530,  -75.190283
     248,   51.903226,  -75.185484
     249,   52.176707,  -75.172691
     250,   52.448000,  -75.160000
     251,   52.717131,  -75.139442
     252,   53.000000,  -75.126984
     253,   53.264822,  -75.122530
     254,   53.527559,  -75.125984
     255,   53.788235,  -75.121569
     256,   54.062500,  -75.109375
     257,   54.350195,  -75.105058
     258,   54.620155,  -75.108527
     259,   54.903475,  -75.104247
     260,   55.184615,  -75.107692
     261,   55.478927,  -75.118774
     262,   55.770992,  -75.122137
     263,   56.076046,  -75.133080
     264,   56.378788,  -75.136364
     265,   56.679245,  -75.139623
     266,   56.977444,  -75.150376
     267,   57.273408,  -75.161049
     268,   57.567164,  -75.164179
     269,   57.858736,  -75.167286
     270,   58.162963,  -75.162963
     271,   58.450185,  -75.166052
     272,   58.735294,  -75.169118
     273,   59.018315,  -75.164835
     274,   59.299270,  -75.160584
     275,   59.578182,  -75.163636
     276,   59.840580,  -75.173913
     277,   60.101083,  -75.191336
     278,   60.374101,  -75.201439
     279,   60.673835,  -75.218638
     280,   60.985714,  -75.228571
     281,   61.295374,  -75.231317
     282,   61.617021,  -75.226950
     283,   61.936396,  -75.229682
     284,   62.267606,  -75.239437
     285,   62.582456,  -75.242105
     286,   62.909091,  -75.237762
     287,   63.247387,  -75.226481
     288,   63.597222,  -75.208333
     289,   63.944637,  -75.190311
     290,   64.289655,  -75.165517
     291,   64.632302,  -75.140893
     292,   64.958904,  -75.109589
     293,   65.283276,  -75.078498
     294,   65.591837,  -75.040816
     295,   65.884746,  -74.996610
     296,   66.175676,  -74.952703
     297,   66.478114,  -74.915825
     298,   66.778523,  -74.872483
     299,   67.076923,  -74.829431
     300,   67.386667,  -74.793333
     301,   67.694352,  -74.757475
     302,   68.000000,  -74.721854
     303,   68.303630,  -74.686469
     304,   68.618421,  -74.644737
     305,   68.931148,  -74.609836
     306,   69.241830,  -74.568627
     307,   69.563518,  -74.521173
     308,   69.870130,  -74.467532
     309,   70.161812,  -74.407767
     310,   70.451613,  -74.341935
     311,   70.739550,  -74.276527
     312,   71.025641,  -74.211538
     313,   71.309904,  -74.146965
     314,   71.605096,  -74.089172
     315,   71.898413,  -74.031746
     316,   72.189873,  -73.968354
     317,   72.492114,  -73.911672
     318,   72.805031,  -73.849057
     319,   73.115987,  -73.793103
     320,   73.412500,  -73.731250
     321,   73.707165,  -73.663551
     322,   74.012422,  -73.602484
     323,   74.315789,  -73.535604
     324,   74.617284,  -73.475309
     325,   74.916923,  -73.415385
     326,   75.226994,  -73.349693
     327,   75.535168,  -73.284404
     328,   75.817073,  -73.213415
     329,   76.121581,  -73.148936
     330,   76.436364,  -73.090909
     331,   76.749245,  -73.039275
     332,   77.060241,  -72.993976
     333,   77.393393,  -72.942943
     334,   77.724551,  -72.892216
     335,   78.053731,  -72.841791
     336,   78.380952,  -72.785714
     337,   78.718101,  -72.735905
     338,   79.041420,  -72.692308
     339,   79.362832,  -72.648968
     340,   79.682353,  -72.605882
     341,   80.000000,  -72.557185
     342,   80.315789,  -72.502924
     343,   80.641399,  -72.454810
     344,   80.965116,  -72.401163
     345,   81.286957,  -72.342029
     346,   81.618497,  -72.277457
     347,   81.948127,  -72.219020
     348,   82.287356,  -72.155172
     349,   82.613181,  -72.097421
     350,   82.937143,  -72.040000
     351,   83.270655,  -71.988604
     352,   83.602273,  -71.943182
     353,   83.932011,  -71.898017
     354,   84.259887,  -71.847458
     355,   84.585915,  -71.791549
     356,   84.921348,  -71.741573
     357,   85.266106,  -71.697479
     358,   85.608939,  -71.648045
     359,   85.949861,  -71.598886
     360,   86.300000,  -71.544444
     361,   86.648199,  -71.490305
     362,   86.994475,  -71.430939
     363,   87.338843,  -71.371901
     364,   87.681319,  -71.313187
     365,   88.021918,  -71.260274
     366,   88.360656,  -71.207650
     367,   88.719346,  -71.160763
     368,   89.065217,  -71.119565
     369,   89.409214,  -71.078591
     370,   89.751351,  -71.037838
     371,   90.091644,  -70.991914
     372,   90.440860,  -70.951613
     373,   90.788204,  -70.916890
     374,   91.133690,  -70.882353
     375,   91.466667,  -70.853333
     376,   91.797872,  -70.824468
     377,   92.137931,  -70.790451
     378,   92.476190,  -70.756614
     379,   92.802111,  -70.728232
     380,   93.126316,  -70.700000
     381,   93.448819,  -70.677165
     382,   93.769634,  -70.659686
     383,   94.099217,  -70.647520
     384,   94.427083,  -70.630208
     385,   94.763636,  -70.607792
     386,   95.098446,  -70.585492
     387,   95.431525,  -70.563307
     388,   95.773196,  -70.536082
     389,   96.123393,  -70.503856
     390,   96.471795,  -70.471795
     391,   96.818414,  -70.434783
     392,   97.173469,  -70.392857
     393,   97.526718,  -70.346056
     394,   97.868020,  -70.294416
     395,   98.217722,  -70.248101
     396,   98.565657,  -70.202020
     397,   98.911839,  -70.156171
     398,   99.246231,  -70.105528
     399,   99.588972,  -70.060150
     400,   99.920000,  -70.020000
     401,  100.259352,  -69.985037
     402,  100.587065,  -69.955224
     403,  100.903226,  -69.920596
     404,  101.217822,  -69.891089
     405,  101.520988,  -69.856790
     406,  101.822660,  -69.822660
     407,  102.122850,  -69.788698
