 paso,E_prom_acum,M_prom_acum
       1,  -28.000000,  -32.000000
       2,  -28.000000,  -32.000000
       3,  -28.000000,  -31.333333
       4,  -28.000000,  -31.500000
       5,  -26.400000,  -32.000000
       6,  -25.333333,  -32.333333
       7,  -24.571429,  -32.571429
       8,  -24.000000,  -32.500000
       9,  -23.111111,  -32.222222
      10,  -22.400000,  -31.800000
      11,  -21.454545,  -31.272727
      12,  -20.000000,  -30.666667
      13,  -18.769231,  -30.153846
      14,  -17.714286,  -29.714286
      15,  -16.533333,  -29.466667
      16,  -15.500000,  -29.125000
      17,  -14.588235,  -28.705882
      18,  -13.777778,  -28.222222
      19,  -12.842105,  -27.684211
      20,  -12.000000,  -27.300000
      21,  -11.238095,  -26.952381
      22,  -10.545455,  -26.727273
      23,   -9.913043,  -26.434783
      24,   -9.333333,  -26.083333
      25,   -8.800000,  -25.760000
      26,   -8.307692,  -25.538462
      27,   -7.703704,  -25.259259
      28,   -7.142857,  -24.928571
      29,   -6.482759,  -24.689655
      30,   -5.866667,  -24.400000
      31,   -5.161290,  -24.193548
      32,   -4.250000,  -23.937500
      33,   -3.393939,  -23.757576
      34,   -2.588235,  -23.529412
      35,   -1.828571,  -23.314286
      36,   -1.111111,  -23.111111
      37,   -0.324324,  -22.864865
      38,    0.421053,  -22.631579
      39,    1.128205,  -22.410256
      40,    1.800000,  -22.200000
      41,    2.439024,  -21.951220
      42,    3.047619,  -21.761905
      43,    3.720930,  -21.534884
      44,    4.454545,  -21.272727
      45,    5.244444,  -20.977778
      46,    6.086957,  -20.739130
      47,    6.893617,  -20.510638
      48,    7.750000,  -20.333333
      49,    8.571429,  -20.163265
      50,    9.360000,  -20.000000
      51,   10.196078,  -19.882353
      52,   11.076923,  -19.730769
      53,   12.000000,  -19.547170
      54,   13.037037,  -19.407407
      55,   14.109091,  -19.236364
      56,   15.214286,  -19.035714
      57,   16.280702,  -18.877193
      58,   17.379310,  -18.758621
      59,   18.576271,  -18.610169
      60,   19.733333,  -18.466667
      61,   20.918033,  -18.360656
      62,   22.193548,  -18.290323
      63,   23.428571,  -18.222222
      64,   24.687500,  -18.187500
      65,   25.907692,  -18.153846
      66,   27.090909,  -18.151515
      67,   28.238806,  -18.179104
      68,   29.411765,  -18.235294
      69,   30.550725,  -18.318841
      70,   31.657143,  -18.428571
      71,   32.732394,  -18.535211
      72,   33.777778,  -18.638889
      73,   34.849315,  -18.767123
      74,   36.000000,  -18.918919
      75,   37.120000,  -19.093333
      76,   38.210526,  -19.263158
      77,   39.272727,  -19.402597
      78,   40.307692,  -19.564103
      79,   41.316456,  -19.721519
      80,   42.300000,  -19.875000
      81,   43.259259,  -20.024691
      82,   44.195122,  -20.146341
      83,   45.156627,  -20.240964
      84,   46.095238,  -20.333333
      85,   47.011765,  -20.447059
      86,   47.953488,  -20.534884
      87,   48.873563,  -20.643678
      88,   49.863636,  -20.772727
      89,   50.831461,  -20.898876
      90,   51.777778,  -21.044444
      91,   52.703297,  -21.208791
      92,   53.608696,  -21.347826
      93,   54.494624,  -21.483871
      94,   55.404255,  -21.638298
      95,   56.294737,  -21.789474
      96,   57.166667,  -21.916667
      97,   58.103093,  -22.020619
      98,   59.020408,  -22.142857
      99,   59.919192,  -22.242424
     100,   60.800000,  -22.320000
     101,   61.663366,  -22.376238
     102,   62.509804,  -22.450980
     103,   63.339806,  -22.524272
     104,   64.153846,  -22.596154
     105,   64.952381,  -22.647619
     106,   65.773585,  -22.716981
     107,   66.579439,  -22.766355
     108,   67.370370,  -22.796296
     109,   68.146789,  -22.825688
     110,   68.909091,  -22.854545
     111,   69.693694,  -22.864865
     112,   70.464286,  -22.857143
     113,   71.221239,  -22.831858
     114,   71.964912,  -22.807018
     115,   72.695652,  -22.765217
     116,   73.413793,  -22.706897
     117,   74.119658,  -22.649573
     118,   74.813559,  -22.593220
     119,   75.495798,  -22.554622
     120,   76.200000,  -22.533333
     121,   76.892562,  -22.512397
     122,   77.573770,  -22.491803
     123,   78.243902,  -22.471545
     124,   78.903226,  -22.451613
     125,   79.584000,  -22.448000
     126,   80.285714,  -22.460317
     127,   81.007874,  -22.456693
     128,   81.718750,  -22.468750
     129,   82.449612,  -22.465116
     130,   83.200000,  -22.476923
     131,   83.938931,  -22.503817
     132,   84.666667,  -22.530303
     133,   85.383459,  -22.556391
     134,   86.089552,  -22.582090
     135,   86.785185,  -22.622222
     136,   87.470588,  -22.661765
     137,   88.145985,  -22.715328
     138,   88.811594,  -22.768116
     139,   89.467626,  -22.834532
     140,   90.114286,  -22.885714
     141,   90.751773,  -22.936170
     142,   91.380282,  -22.985915
     143,   92.000000,  -23.048951
     144,   92.611111,  -23.097222
     145,   93.213793,  -23.144828
     146,   93.835616,  -23.205479
     147,   94.448980,  -23.265306
     148,   95.054054,  -23.324324
     149,   95.651007,  -23.382550
     150,   96.240000,  -23.453333
     151,   96.821192,  -23.523179
     152,   97.394737,  -23.578947
     153,   97.960784,  -23.633987
     154,   98.519481,  -23.701299
     155,   99.070968,  -23.754839
     156,   99.615385,  -23.794872
     157,  100.178344,  -23.821656
     158,  100.734177,  -23.835443
     159,  101.283019,  -23.836478
     160,  101.825000,  -23.850000
     161,  102.360248,  -23.875776
     162,  102.888889,  -23.888889
     163,  103.411043,  -23.889571
     164,  103.975610,  -23.878049
     165,  104.533333,  -23.866667
     166,  105.084337,  -23.855422
     167,  105.628743,  -23.844311
     168,  106.166667,  -23.845238
     169,  106.698225,  -23.834320
     170,  107.223529,  -23.823529
     171,  107.742690,  -23.812865
     172,  108.255814,  -23.802326
     173,  108.763006,  -23.791908
     174,  109.264368,  -23.781609
     175,  109.760000,  -23.771429
     176,  110.250000,  -23.750000
     177,  110.734463,  -23.728814
     178,  111.235955,  -23.696629
     179,  111.754190,  -23.675978
     180,  112.288889,  -23.644444
     181,  112.817680,  -23.613260
     182,  113.340659,  -23.571429
     183,  113.857923,  -23.530055
     184,  114.369565,  -23.489130
     185,  114.875676,  -23.437838
     186,  115.376344,  -23.397849
     187,  115.871658,  -23.358289
     188,  116.382979,  -23.329787
     189,  116.910053,  -23.312169
     190,  117.431579,  -23.294737
     191,  117.947644,  -23.277487
     192,  118.458333,  -23.270833
     193,  118.984456,  -23.253886
     194,  119.505155,  -23.226804
     195,  120.020513,  -23.200000
     196,  120.530612,  -23.173469
     197,  121.035533,  -23.147208
     198,  121.555556,  -23.131313
     199,  122.090452,  -23.105528
     200,  122.620000,  -23.070000
     201,  123.164179,  -23.024876
     202,  123.702970,  -22.990099
     203,  124.236453,  -22.955665
     204,  124.784314,  -22.931373
     205,  125.326829,  -22.907317
     206,  125.883495,  -22.893204
     207,  126.434783,  -22.879227
     208,  126.980769,  -22.875000
     209,  127.521531,  -22.861244
     210,  128.057143,  -22.847619
     211,  128.587678,  -22.834123
     212,  129.113208,  -22.811321
     213,  129.633803,  -22.788732
     214,  130.168224,  -22.757009
     215,  130.697674,  -22.734884
     216,  131.222222,  -22.703704
     217,  131.741935,  -22.682028
     218,  132.256881,  -22.669725
     219,  132.767123,  -22.657534
     220,  133.272727,  -22.645455
     221,  133.773756,  -22.633484
     222,  134.270270,  -22.630631
     223,  134.762332,  -22.618834
     224,  135.267857,  -22.598214
     225,  135.768889,  -22.568889
     226,  136.265487,  -22.539823
     227,  136.757709,  -22.511013
     228,  137.280702,  -22.473684
     229,  137.799127,  -22.427948
     230,  138.313043,  -22.391304
     231,  138.822511,  -22.363636
