 paso,E_prom_acum,M_prom_acum
       1,  -48.000000,  -42.000000
       2,  -48.000000,  -41.000000
       3,  -48.000000,  -41.333333
       4,  -48.000000,  -41.500000
       5,  -48.800000,  -42.000000
       6,  -50.000000,  -42.000000
       7,  -50.857143,  -42.285714
       8,  -51.500000,  -42.250000
       9,  -52.000000,  -42.222222
      10,  -52.400000,  -42.200000
      11,  -52.727273,  -42.181818
      12,  -53.000000,  -42.333333
      13,  -53.230769,  -42.615385
      14,  -53.428571,  -42.857143
      15,  -53.600000,  -43.066667
      16,  -53.750000,  -43.250000
      17,  -53.882353,  -43.294118
      18,  -54.000000,  -43.333333
      19,  -54.105263,  -43.368421
      20,  -54.400000,  -43.300000
      21,  -54.666667,  -43.238095
      22,  -55.090909,  -43.272727
      23,  -55.304348,  -43.217391
      24,  -55.500000,  -43.083333
      25,  -55.680000,  -43.040000
      26,  -55.846154,  -43.076923
      27,  -56.148148,  -43.037037
      28,  -56.428571,  -43.000000
      29,  -56.965517,  -43.034483
      30,  -57.466667,  -43.000000
      31,  -58.064516,  -43.032258
      32,  -58.625000,  -43.000000
      33,  -59.030303,  -43.030303
      34,  -59.529412,  -43.117647
      35,  -60.000000,  -43.142857
      36,  -60.666667,  -43.111111
      37,  -61.405405,  -43.135135
      38,  -62.105263,  -43.105263
      39,  -62.769231,  -43.076923
      40,  -63.500000,  -43.000000
      41,  -64.195122,  -42.975610
      42,  -64.857143,  -42.952381
      43,  -65.488372,  -42.930233
      44,  -66.090909,  -42.954545
      45,  -66.755556,  -42.933333
      46,  -67.391304,  -42.913043
      47,  -67.829787,  -42.851064
      48,  -68.250000,  -42.791667
      49,  -68.734694,  -42.775510
      50,  -69.280000,  -42.800000
      51,  -69.803922,  -42.784314
      52,  -70.307692,  -42.730769
      53,  -70.792453,  -42.641509
      54,  -71.259259,  -42.555556
      55,  -71.854545,  -42.509091
      56,  -72.428571,  -42.428571
      57,  -72.982456,  -42.350877
      58,  -73.517241,  -42.275862
      59,  -74.033898,  -42.203390
      60,  -74.600000,  -42.100000
      61,  -75.147541,  -42.000000
      62,  -75.677419,  -41.935484
      63,  -76.190476,  -41.873016
      64,  -76.687500,  -41.812500
      65,  -77.169231,  -41.753846
      66,  -77.636364,  -41.696970
      67,  -78.089552,  -41.611940
      68,  -78.529412,  -41.529412
      69,  -78.956522,  -41.449275
      70,  -79.371429,  -41.400000
      71,  -79.774648,  -41.352113
      72,  -80.222222,  -41.277778
      73,  -80.712329,  -41.178082
      74,  -81.189189,  -41.081081
      75,  -81.653333,  -41.013333
      76,  -82.105263,  -40.973684
      77,  -82.545455,  -40.935065
      78,  -82.974359,  -40.923077
      79,  -83.392405,  -40.886076
      80,  -83.800000,  -40.825000
      81,  -84.246914,  -40.740741
      82,  -84.780488,  -40.634146
      83,  -85.397590,  -40.506024
      84,  -86.000000,  -40.404762
      85,  -86.588235,  -40.282353
      86,  -87.209302,  -40.139535
      87,  -87.816092,  -40.000000
      88,  -88.409091,  -39.840909
      89,  -88.988764,  -39.662921
      90,  -89.600000,  -39.466667
      91,  -90.241758,  -39.296703
      92,  -90.869565,  -39.130435
      93,  -91.483871,  -38.946237
      94,  -92.085106,  -38.765957
      95,  -92.673684,  -38.589474
      96,  -93.333333,  -38.395833
      97,  -93.979381,  -38.206186
      98,  -94.612245,  -38.040816
      99,  -95.232323,  -37.878788
     100,  -95.840000,  -37.720000
     101,  -96.475248,  -37.584158
     102,  -97.098039,  -37.431373
     103,  -97.708738,  -37.262136
     104,  -98.307692,  -37.076923
     105,  -98.933333,  -36.876190
     106,  -99.584906,  -36.698113
     107, -100.224299,  -36.523364
     108, -100.851852,  -36.370370
     109, -101.467890,  -36.220183
     110, -102.072727,  -36.054545
     111, -102.702703,  -35.873874
     112, -103.321429,  -35.696429
     113, -103.929204,  -35.504425
     114, -104.526316,  -35.333333
     115, -105.113043,  -35.147826
     116, -105.689655,  -34.965517
     117, -106.256410,  -34.786325
     118, -106.881356,  -34.627119
     119, -107.495798,  -34.487395
     120, -108.100000,  -34.366667
     121, -108.694215,  -34.247934
     122, -109.344262,  -34.114754
     123, -109.983740,  -33.967480
     124, -110.612903,  -33.806452
     125, -111.296000,  -33.632000
     126, -111.968254,  -33.460317
     127, -112.661417,  -33.275591
     128, -113.343750,  -33.093750
     129, -114.015504,  -32.930233
     130, -114.676923,  -32.769231
     131, -115.328244,  -32.610687
     132, -116.030303,  -32.439394
     133, -116.751880,  -32.255639
     134, -117.462687,  -32.074627
     135, -118.162963,  -31.881481
     136, -118.852941,  -31.691176
     137, -119.562044,  -31.518248
     138, -120.260870,  -31.347826
     139, -120.949640,  -31.179856
     140, -121.628571,  -31.028571
     141, -122.297872,  -30.879433
     142, -122.985915,  -30.746479
     143, -123.720280,  -30.629371
     144, -124.444444,  -30.527778
     145, -125.158621,  -30.441379
     146, -125.863014,  -30.356164
     147, -126.557823,  -30.258503
     148, -127.270270,  -30.175676
     149, -127.973154,  -30.093960
     150, -128.666667,  -30.000000
     151, -129.377483,  -29.894040
     152, -130.105263,  -29.776316
     153, -130.849673,  -29.647059
     154, -131.584416,  -29.519481
     155, -132.335484,  -29.380645
     156, -133.076923,  -29.243590
     157, -133.808917,  -29.108280
     158, -134.531646,  -28.962025
     159, -135.245283,  -28.830189
     160, -135.950000,  -28.712500
     161, -136.645963,  -28.596273
     162, -137.358025,  -28.493827
     163, -138.061350,  -28.392638
     164, -138.756098,  -28.292683
     165, -139.442424,  -28.193939
     166, -140.120482,  -28.084337
     167, -140.814371,  -27.988024
     168, -141.500000,  -27.880952
     169, -142.177515,  -27.786982
     170, -142.847059,  -27.705882
     171, -143.508772,  -27.625731
