 paso,E_prom_acum,M_prom_acum
       1,  -16.000000,    2.000000
       2,  -16.000000,    1.000000
       3,  -16.000000,    0.000000
       4,  -16.000000,    0.000000
       5,  -16.000000,    0.000000
       6,  -16.000000,   -0.333333
       7,  -15.428571,   -0.857143
       8,  -15.000000,   -1.500000
       9,  -14.666667,   -2.000000
      10,  -14.400000,   -2.200000
      11,  -14.909091,   -2.545455
      12,  -15.333333,   -3.000000
      13,  -16.000000,   -3.538462
      14,  -16.571429,   -4.142857
      15,  -17.066667,   -4.800000
      16,  -17.750000,   -5.500000
      17,  -18.588235,   -6.000000
      18,  -19.777778,   -6.555556
      19,  -20.631579,   -7.157895
      20,  -21.400000,   -7.700000
      21,  -22.095238,   -8.190476
      22,  -22.727273,   -8.545455
      23,  -23.304348,   -8.782609
      24,  -24.166667,   -9.083333
      25,  -25.120000,   -9.280000
      26,  -26.000000,   -9.461538
      27,  -26.814815,   -9.555556
      28,  -27.571429,   -9.714286
      29,  -28.551724,   -9.793103
      30,  -29.466667,   -9.933333
      31,  -30.322581,  -10.129032
      32,  -31.375000,  -10.250000
      33,  -32.363636,  -10.303030
      34,  -33.294118,  -10.352941
      35,  -34.171429,  -10.457143
      36,  -35.000000,  -10.555556
      37,  -35.783784,  -10.594595
      38,  -36.631579,  -10.684211
      39,  -37.435897,  -10.820513
      40,  -38.400000,  -11.000000
      41,  -39.317073,  -11.219512
      42,  -40.285714,  -11.380952
      43,  -41.395349,  -11.581395
      44,  -42.454545,  -11.772727
      45,  -43.466667,  -11.911111
      46,  -44.434783,  -12.000000
      47,  -45.361702,  -12.085106
      48,  -46.166667,  -12.125000
      49,  -46.938776,  -12.122449
      50,  -47.840000,  -12.080000
      51,  -48.705882,  -12.078431
      52,  -49.538462,  -12.076923
      53,  -50.415094,  -12.113208
      54,  -51.259259,  -12.148148
      55,  -52.072727,  -12.181818
      56,  -52.928571,  -12.178571
      57,  -53.754386,  -12.140351
      58,  -54.620690,  -12.068966
      59,  -55.593220,  -11.966102
      60,  -56.600000,  -11.900000
      61,  -57.573770,  -11.836066
      62,  -58.387097,  -11.741935
      63,  -59.174603,  -11.650794
      64,  -59.875000,  -11.531250
      65,  -60.553846,  -11.415385
      66,  -61.212121,  -11.272727
      67,  -61.850746,  -11.164179
      68,  -62.470588,  -11.088235
      69,  -63.072464,  -11.014493
      70,  -63.657143,  -10.942857
      71,  -64.281690,  -10.845070
      72,  -64.888889,  -10.777778
      73,  -65.479452,  -10.684932
      74,  -66.162162,  -10.567568
      75,  -66.773333,  -10.426667
      76,  -67.368421,  -10.289474
      77,  -67.948052,  -10.129870
      78,  -68.512821,  -10.000000
      79,  -69.063291,   -9.848101
      80,  -69.650000,   -9.725000
      81,  -70.222222,   -9.580247
      82,  -70.780488,   -9.463415
      83,  -71.325301,   -9.373494
      84,  -71.857143,   -9.309524
      85,  -72.376471,   -9.247059
      86,  -72.883721,   -9.162791
      87,  -73.379310,   -9.057471
      88,  -73.818182,   -8.977273
      89,  -74.247191,   -8.898876
      90,  -74.666667,   -8.800000
      91,  -75.164835,   -8.681319
      92,  -75.608696,   -8.586957
      93,  -76.043011,   -8.494624
      94,  -76.468085,   -8.425532
      95,  -76.926316,   -8.378947
      96,  -77.375000,   -8.333333
      97,  -77.814433,   -8.288660
      98,  -78.244898,   -8.265306
      99,  -78.666667,   -8.242424
     100,  -79.080000,   -8.240000
     101,  -79.524752,   -8.217822
     102,  -80.039216,   -8.215686
     103,  -80.504854,   -8.194175
     104,  -80.961538,   -8.173077
     105,  -81.409524,   -8.152381
     106,  -81.849057,   -8.113208
     107,  -82.280374,   -8.056075
     108,  -82.740741,   -8.018519
     109,  -83.192661,   -7.981651
     110,  -83.672727,   -7.963636
     111,  -84.180180,   -7.927928
     112,  -84.714286,   -7.875000
     113,  -85.238938,   -7.840708
     114,  -85.789474,   -7.789474
     115,  -86.330435,   -7.739130
     116,  -86.896552,   -7.706897
     117,  -87.452991,   -7.675214
     118,  -87.966102,   -7.661017
     119,  -88.470588,   -7.647059
     120,  -88.933333,   -7.650000
     121,  -89.388430,   -7.636364
     122,  -89.836066,   -7.606557
     123,  -90.308943,   -7.560976
     124,  -90.774194,   -7.516129
     125,  -91.264000,   -7.456000
     126,  -91.682540,   -7.380952
     127,  -92.094488,   -7.322835
     128,  -92.531250,   -7.281250
     129,  -92.961240,   -7.224806
     130,  -93.446154,   -7.184615
     131,  -93.984733,   -7.129771
     132,  -94.545455,   -7.090909
     133,  -95.097744,   -7.037594
     134,  -95.641791,   -6.970149
     135,  -96.177778,   -6.918519
     136,  -96.705882,   -6.852941
     137,  -97.197080,   -6.773723
     138,  -97.710145,   -6.681159
     139,  -98.215827,   -6.589928
     140,  -98.714286,   -6.485714
     141,  -99.205674,   -6.368794
     142,  -99.690141,   -6.239437
     143, -100.195804,   -6.097902
     144, -100.722222,   -5.944444
     145, -101.241379,   -5.779310
     146, -101.753425,   -5.602740
     147, -102.258503,   -5.414966
     148, -102.756757,   -5.229730
     149, -103.302013,   -5.060403
     150, -103.813333,   -4.880000
     151, -104.291391,   -4.715232
     152, -104.763158,   -4.539474
     153, -105.254902,   -4.379085
     154, -105.740260,   -4.207792
     155, -106.219355,   -4.038710
     156, -106.692308,   -3.858974
     157, -107.159236,   -3.694268
     158, -107.620253,   -3.518987
     159, -108.075472,   -3.358491
     160, -108.550000,   -3.212500
     161, -108.968944,   -3.080745
     162, -109.382716,   -2.962963
     163, -109.766871,   -2.858896
     164, -110.146341,   -2.768293
     165, -110.496970,   -2.690909
     166, -110.867470,   -2.626506
     167, -111.233533,   -2.562874
     168, -111.619048,   -2.511905
     169, -112.000000,   -2.473373
     170, -112.400000,   -2.423529
     171, -112.795322,   -2.374269
     172, -113.209302,   -2.313953
     173, -113.595376,   -2.265896
     174, -113.977011,   -2.218391
     175, -114.354286,   -2.182857
     176, -114.750000,   -2.159091
     177, -115.118644,   -2.146893
     178, -115.483146,   -2.134831
     179, -115.843575,   -2.111732
     180, -116.200000,   -2.088889
     181, -116.530387,   -2.077348
     182, -116.857143,   -2.065934
     183, -117.158470,   -2.043716
     184, -117.434783,   -2.032609
     185, -117.708108,   -2.021622
     186, -117.956989,   -2.000000
     187, -118.224599,   -1.989305
     188, -118.489362,   -1.968085
     189, -118.751323,   -1.957672
     190, -119.031579,   -1.957895
     191, -119.308901,   -1.958115
     192, -119.604167,   -1.968750
     193, -119.896373,   -1.968912
     194, -120.164948,   -1.979381
     195, -120.430769,   -1.989744
     196, -120.693878,   -1.989796
     197, -120.974619,   -2.000000
     198, -121.252525,   -2.010101
     199, -121.527638,   -2.010050
     200, -121.800000,   -2.020000
     201, -122.069652,   -2.029851
     202, -122.356436,   -2.049505
     203, -122.640394,   -2.059113
     204, -122.941176,   -2.078431
     205, -123.258537,   -2.107317
     206, -123.572816,   -2.145631
     207, -123.884058,   -2.173913
     208, -124.173077,   -2.211538
     209, -124.459330,   -2.248804
     210, -124.723810,   -2.276190
     211, -124.966825,   -2.312796
     212, -125.207547,   -2.349057
     213, -125.446009,   -2.375587
     214, -125.682243,   -2.401869
     215, -125.916279,   -2.418605
     216, -126.148148,   -2.425926
     217, -126.377880,   -2.442396
     218, -126.642202,   -2.467890
     219, -126.904110,   -2.484018
     220, -127.163636,   -2.500000
     221, -127.420814,   -2.515837
     222, -127.657658,   -2.540541
     223, -127.892377,   -2.573991
     224, -128.125000,   -2.607143
     225, -128.337778,   -2.648889
     226, -128.548673,   -2.690265
     227, -128.757709,   -2.731278
     228, -128.964912,   -2.763158
     229, -129.170306,   -2.786026
     230, -129.373913,   -2.800000
     231, -129.575758,   -2.813853
     232, -129.775862,   -2.818966
     233, -129.974249,   -2.832618
     234, -130.170940,   -2.846154
     235, -130.382979,   -2.851064
     236, -130.593220,   -2.847458
     237, -130.784810,   -2.835443
     238, -130.974790,   -2.823529
     239, -131.163180,   -2.811715
     240, -131.366667,   -2.791667
     241, -131.568465,   -2.771784
     242, -131.768595,   -2.760331
     243, -131.983539,   -2.740741
     244, -132.180328,   -2.729508
     245, -132.375510,   -2.726531
