 paso,E_prom_acum,M_prom_acum
       1,   84.000000,    2.000000
       2,   84.000000,    2.000000
       3,   85.333333,    1.333333
       4,   86.000000,    1.500000
       5,   87.200000,    2.000000
       6,   89.333333,    2.666667
       7,   90.857143,    3.428571
       8,   92.000000,    4.000000
       9,   93.333333,    4.666667
      10,   94.400000,    5.200000
      11,   95.272727,    5.454545
      12,   96.000000,    5.666667
      13,   96.307692,    6.000000
      14,   96.571429,    6.285714
      15,   97.066667,    6.400000
      16,   97.500000,    6.500000
      17,   97.411765,    6.470588
      18,   97.333333,    6.555556
      19,   97.263158,    6.631579
      20,   97.400000,    6.800000
      21,   97.333333,    6.857143
      22,   97.272727,    6.909091
      23,   97.217391,    7.043478
      24,   97.333333,    7.083333
      25,   97.440000,    7.040000
      26,   97.538462,    7.000000
      27,   97.629630,    7.037037
      28,   97.714286,    7.071429
      29,   97.931034,    7.172414
      30,   98.133333,    7.200000
      31,   98.322581,    7.225806
      32,   98.500000,    7.250000
      33,   98.666667,    7.333333
      34,   98.823529,    7.352941
      35,   99.085714,    7.314286
      36,   99.222222,    7.222222
      37,   99.351351,    7.189189
      38,   99.368421,    7.210526
      39,   99.384615,    7.230769
      40,   99.500000,    7.300000
      41,   99.609756,    7.365854
      42,   99.714286,    7.428571
      43,   99.813953,    7.534884
      44,  100.000000,    7.590909
      45,  100.088889,    7.688889
      46,  100.173913,    7.739130
      47,  100.255319,    7.829787
      48,  100.416667,    7.875000
      49,  100.571429,    7.959184
      50,  100.720000,    8.080000
      51,  100.862745,    8.156863
      52,  101.076923,    8.192308
      53,  101.358491,    8.188679
      54,  101.703704,    8.148148
      55,  102.036364,    8.109091
      56,  102.428571,    8.035714
      57,  102.736842,    8.000000
      58,  102.965517,    7.931034
      59,  103.254237,    7.830508
      60,  103.666667,    7.766667
      61,  104.065574,    7.672131
      62,  104.451613,    7.612903
      63,  104.825397,    7.555556
      64,  105.250000,    7.468750
      65,  105.661538,    7.384615
      66,  106.060606,    7.303030
      67,  106.447761,    7.194030
      68,  106.882353,    7.058824
      69,  107.304348,    6.956522
      70,  107.714286,    6.857143
      71,  108.112676,    6.760563
      72,  108.500000,    6.638889
      73,  108.931507,    6.493151
      74,  109.297297,    6.378378
      75,  109.653333,    6.240000
      76,  110.000000,    6.131579
      77,  110.285714,    6.000000
      78,  110.564103,    5.871795
      79,  110.835443,    5.746835
      80,  111.100000,    5.650000
      81,  111.358025,    5.530864
      82,  111.658537,    5.390244
      83,  112.000000,    5.277108
      84,  112.333333,    5.190476
      85,  112.658824,    5.129412
      86,  112.930233,    5.046512
      87,  113.149425,    4.988506
      88,  113.318182,    4.909091
      89,  113.483146,    4.853933
      90,  113.644444,    4.822222
      91,  113.758242,    4.769231
      92,  113.869565,    4.717391
      93,  113.978495,    4.666667
      94,  114.085106,    4.638298
      95,  114.147368,    4.631579
      96,  114.208333,    4.604167
      97,  114.350515,    4.556701
      98,  114.489796,    4.510204
      99,  114.626263,    4.464646
     100,  114.840000,    4.440000
     101,  115.009901,    4.396040
     102,  115.215686,    4.333333
     103,  115.417476,    4.291262
     104,  115.615385,    4.269231
     105,  115.771429,    4.228571
     106,  115.924528,    4.169811
     107,  116.037383,    4.130841
     108,  116.148148,    4.092593
     109,  116.293578,    4.036697
     110,  116.400000,    4.000000
     111,  116.504505,    3.981982
     112,  116.607143,    3.946429
     113,  116.672566,    3.893805
     114,  116.736842,    3.824561
     115,  116.765217,    3.739130
     116,  116.827586,    3.637931
     117,  116.888889,    3.555556
     118,  116.949153,    3.457627
     119,  117.008403,    3.344538
     120,  117.066667,    3.233333
     121,  117.123967,    3.123967
     122,  117.180328,    3.032787
     123,  117.235772,    2.943089
     124,  117.322581,    2.838710
     125,  117.408000,    2.720000
     126,  117.523810,    2.619048
     127,  117.637795,    2.519685
     128,  117.750000,    2.437500
     129,  117.860465,    2.372093
     130,  117.969231,    2.292308
     131,  118.076336,    2.198473
     132,  118.151515,    2.090909
     133,  118.225564,    1.969925
     134,  118.298507,    1.835821
     135,  118.370370,    1.718519
     136,  118.441176,    1.617647
     137,  118.510949,    1.532847
     138,  118.579710,    1.449275
     139,  118.647482,    1.366906
     140,  118.742857,    1.300000
     141,  118.836879,    1.219858
     142,  118.929577,    1.126761
     143,  119.048951,    1.020979
     144,  119.166667,    0.902778
     145,  119.282759,    0.800000
     146,  119.369863,    0.712329
     147,  119.482993,    0.612245
     148,  119.594595,    0.500000
     149,  119.704698,    0.375839
     150,  119.813333,    0.266667
     151,  119.894040,    0.172185
     152,  120.000000,    0.092105
     153,  120.104575,    0.000000
     154,  120.207792,   -0.090909
     155,  120.335484,   -0.167742
     156,  120.487179,   -0.230769
     157,  120.636943,   -0.305732
     158,  120.784810,   -0.367089
     159,  120.930818,   -0.440252
     160,  121.100000,   -0.525000
     161,  121.291925,   -0.621118
     162,  121.506173,   -0.703704
     163,  121.717791,   -0.797546
     164,  121.926829,   -0.902439
     165,  122.133333,   -0.993939
     166,  122.337349,   -1.096386
     167,  122.538922,   -1.209581
     168,  122.785714,   -1.333333
     169,  123.029586,   -1.443787
     170,  123.294118,   -1.564706
     171,  123.555556,   -1.684211
     172,  123.813953,   -1.790698
     173,  124.092486,   -1.884393
     174,  124.390805,   -1.965517
     175,  124.708571,   -2.034286
     176,  125.045455,   -2.090909
     177,  125.378531,   -2.146893
     178,  125.707865,   -2.213483
     179,  126.033520,   -2.268156
     180,  126.377778,   -2.333333
     181,  126.718232,   -2.397790
     182,  127.054945,   -2.472527
     183,  127.387978,   -2.546448
     184,  127.717391,   -2.619565
     185,  128.086486,   -2.702703
     186,  128.473118,   -2.774194
     187,  128.877005,   -2.834225
     188,  129.276596,   -2.893617
     189,  129.671958,   -2.941799
     190,  130.063158,   -3.000000
     191,  130.450262,   -3.068063
     192,  130.812500,   -3.145833
     193,  131.170984,   -3.222798
     194,  131.525773,   -3.309278
     195,  131.876923,   -3.394872
     196,  132.224490,   -3.479592
     197,  132.588832,   -3.573604
     198,  132.949495,   -3.666667
     199,  133.306533,   -3.758794
     200,  133.660000,   -3.850000
     201,  134.009950,   -3.950249
     202,  134.376238,   -4.039604
     203,  134.738916,   -4.137931
     204,  135.098039,   -4.235294
     205,  135.434146,   -4.321951
     206,  135.766990,   -4.398058
     207,  136.115942,   -4.463768
     208,  136.461538,   -4.519231
     209,  136.822967,   -4.564593
     210,  137.180952,   -4.609524
     211,  137.535545,   -4.654028
     212,  137.886792,   -4.707547
     213,  138.234742,   -4.760563
     214,  138.579439,   -4.822430
     215,  138.920930,   -4.874419
     216,  139.259259,   -4.925926
     217,  139.576037,   -4.967742
     218,  139.871560,   -5.000000
     219,  140.182648,   -5.022831
     220,  140.509091,   -5.054545
     221,  140.814480,   -5.076923
     222,  141.117117,   -5.099099
     223,  141.434978,   -5.112108
     224,  141.750000,   -5.116071
     225,  142.062222,   -5.128889
     226,  142.353982,   -5.150442
     227,  142.643172,   -5.171806
     228,  142.929825,   -5.184211
     229,  143.213974,   -5.196507
     230,  143.495652,   -5.208696
     231,  143.757576,   -5.212121
     232,  144.000000,   -5.206897
     233,  144.240343,   -5.193133
     234,  144.478632,   -5.179487
     235,  144.731915,   -5.174468
     236,  144.983051,   -5.177966
     237,  145.232068,   -5.189873
     238,  145.478992,   -5.210084
     239,  145.723849,   -5.221757
     240,  145.966667,   -5.241667
     241,  146.207469,   -5.269710
     242,  146.446281,   -5.289256
     243,  146.666667,   -5.300412
     244,  146.885246,   -5.303279
     245,  147.102041,   -5.314286
     246,  147.333333,   -5.317073
     247,  147.578947,   -5.327935
     248,  147.854839,   -5.330645
     249,  148.128514,   -5.341365
     250,  148.400000,   -5.352000
     251,  148.685259,   -5.370518
     252,  149.000000,   -5.380952
     253,  149.312253,   -5.399209
     254,  149.606299,   -5.425197
     255,  149.898039,   -5.450980
     256,  150.171875,   -5.484375
     257,  150.443580,   -5.509728
     258,  150.713178,   -5.534884
     259,  150.980695,   -5.567568
     260,  151.246154,   -5.600000
     261,  151.509579,   -5.632184
     262,  151.755725,   -5.656489
     263,  151.969582,   -5.688213
     264,  152.212121,   -5.727273
     265,  152.452830,   -5.766038
     266,  152.691729,   -5.812030
     267,  152.958801,   -5.850187
     268,  153.223881,   -5.888060
     269,  153.472119,   -5.933086
     270,  153.718519,   -5.977778
     271,  153.977860,   -6.014760
     272,  154.235294,   -6.058824
     273,  154.490842,   -6.102564
     274,  154.744526,   -6.138686
     275,  154.996364,   -6.174545
     276,  155.260870,   -6.217391
     277,  155.523466,   -6.267148
     278,  155.798561,   -6.323741
     279,  156.071685,   -6.379928
     280,  156.357143,   -6.442857
     281,  156.640569,   -6.512456
     282,  156.921986,   -6.574468
     283,  157.201413,   -6.643110
     284,  157.478873,   -6.704225
     285,  157.754386,   -6.771930
     286,  158.027972,   -6.832168
     287,  158.299652,   -6.898955
     288,  158.583333,   -6.972222
     289,  158.865052,   -7.038062
     290,  159.144828,   -7.103448
     291,  159.422680,   -7.161512
     292,  159.698630,   -7.219178
     293,  159.972696,   -7.276451
     294,  160.244898,   -7.340136
     295,  160.515254,   -7.403390
     296,  160.770270,   -7.472973
     297,  161.037037,   -7.548822
     298,  161.288591,   -7.617450
