 paso,E_prom_acum,M_prom_acum
       1,   40.000000,    4.000000
       2,   40.000000,    4.000000
       3,   40.000000,    3.333333
       4,   39.000000,    3.500000
       5,   36.800000,    3.200000
       6,   35.333333,    2.666667
       7,   34.285714,    2.285714
       8,   33.000000,    2.250000
       9,   32.000000,    2.444444
      10,   31.200000,    2.600000
      11,   30.545455,    2.909091
      12,   29.333333,    3.333333
      13,   28.307692,    3.846154
      14,   27.142857,    4.142857
      15,   26.133333,    4.266667
      16,   25.000000,    4.500000
      17,   23.764706,    4.588235
      18,   22.666667,    4.666667
      19,   21.473684,    4.631579
      20,   20.400000,    4.700000
      21,   19.619048,    4.666667
      22,   19.090909,    4.727273
      23,   18.782609,    4.869565
      24,   18.500000,    5.083333
      25,   18.240000,    5.360000
      26,   18.000000,    5.692308
      27,   17.629630,    6.074074
      28,   17.000000,    6.500000
      29,   16.413793,    6.965517
      30,   15.866667,    7.333333
      31,   15.354839,    7.612903
      32,   14.750000,    7.937500
      33,   14.060606,    8.303030
      34,   13.411765,    8.588235
      35,   12.800000,    8.914286
      36,   12.111111,    9.166667
      37,   11.351351,    9.459459
      38,   10.526316,    9.789474
      39,    9.538462,   10.153846
      40,    8.500000,   10.450000
      41,    7.414634,   10.682927
      42,    6.285714,   10.952381
      43,    5.209302,   11.255814
      44,    4.000000,   11.590909
      45,    2.844444,   11.866667
      46,    1.652174,   12.173913
      47,    0.510638,   12.468085
      48,   -0.583333,   12.708333
      49,   -1.632653,   12.938776
      50,   -2.720000,   13.200000
      51,   -3.764706,   13.490196
      52,   -4.846154,   13.807692
      53,   -5.886792,   14.075472
      54,   -6.888889,   14.333333
      55,   -7.854545,   14.618182
      56,   -8.785714,   14.928571
      57,   -9.684211,   15.192982
      58,  -10.551724,   15.482759
      59,  -11.389831,   15.728814
      60,  -12.266667,   16.000000
      61,  -13.049180,   16.229508
      62,  -13.806452,   16.451613
      63,  -14.539683,   16.634921
      64,  -15.312500,   16.843750
      65,  -16.061538,   17.076923
      66,  -16.787879,   17.333333
      67,  -17.492537,   17.552239
      68,  -18.176471,   17.735294
      69,  -18.840580,   17.884058
      70,  -19.485714,   18.057143
      71,  -20.112676,   18.197183
      72,  -20.722222,   18.305556
      73,  -21.260274,   18.383562
      74,  -21.837838,   18.486486
      75,  -22.400000,   18.586667
      76,  -22.947368,   18.684211
      77,  -23.480519,   18.753247
      78,  -24.000000,   18.846154
      79,  -24.556962,   18.911392
      80,  -25.150000,   19.000000
      81,  -25.827160,   19.061728
      82,  -26.536585,   19.097561
      83,  -27.277108,   19.156627
      84,  -28.000000,   19.190476
      85,  -28.705882,   19.200000
      86,  -29.395349,   19.232558
      87,  -30.114943,   19.241379
      88,  -30.818182,   19.250000
      89,  -31.460674,   19.235955
      90,  -32.088889,   19.222222
      91,  -32.703297,   19.186813
      92,  -33.347826,   19.130435
      93,  -33.935484,   19.053763
      94,  -34.510638,   18.957447
      95,  -35.031579,   18.842105
      96,  -35.541667,   18.750000
      97,  -36.041237,   18.639175
      98,  -36.448980,   18.510204
      99,  -36.848485,   18.363636
     100,  -37.240000,   18.200000
     101,  -37.584158,   18.019802
     102,  -37.882353,   17.823529
     103,  -38.174757,   17.611650
     104,  -38.461538,   17.384615
     105,  -38.819048,   17.142857
     106,  -39.245283,   16.886792
     107,  -39.738318,   16.616822
     108,  -40.259259,   16.333333
     109,  -40.770642,   16.073394
     110,  -41.272727,   15.800000
     111,  -41.765766,   15.549550
     112,  -42.321429,   15.285714
     113,  -42.831858,   15.044248
     114,  -43.333333,   14.824561
     115,  -43.860870,   14.626087
     116,  -44.413793,   14.413793
     117,  -44.957265,   14.205128
     118,  -45.457627,   14.016949
     119,  -45.949580,   13.815126
     120,  -46.433333,   13.616667
     121,  -46.909091,   13.421488
     122,  -47.377049,   13.213115
     123,  -47.869919,   12.991870
     124,  -48.322581,   12.758065
     125,  -48.800000,   12.512000
     126,  -49.269841,   12.269841
     127,  -49.763780,   12.015748
     128,  -50.281250,   11.750000
     129,  -50.790698,   11.472868
     130,  -51.323077,   11.215385
     131,  -51.847328,   10.961832
     132,  -52.363636,   10.696970
     133,  -52.872180,   10.451128
     134,  -53.343284,   10.223881
     135,  -53.807407,   10.014815
     136,  -54.264706,    9.823529
     137,  -54.715328,    9.649635
     138,  -55.159420,    9.478261
     139,  -55.625899,    9.323741
     140,  -56.114286,    9.157143
     141,  -56.567376,    8.978723
     142,  -57.042254,    8.816901
     143,  -57.510490,    8.643357
     144,  -58.000000,    8.486111
     145,  -58.482759,    8.344828
     146,  -58.986301,    8.191781
     147,  -59.482993,    8.040816
     148,  -59.972973,    7.905405
     149,  -60.483221,    7.758389
     150,  -61.013333,    7.626667
     151,  -61.562914,    7.483444
     152,  -62.105263,    7.328947
     153,  -62.640523,    7.176471
     154,  -63.194805,    7.012987
     155,  -63.741935,    6.851613
     156,  -64.256410,    6.705128
     157,  -64.764331,    6.573248
     158,  -65.291139,    6.455696
     159,  -65.811321,    6.352201
     160,  -66.325000,    6.237500
     161,  -66.857143,    6.111801
     162,  -67.382716,    5.987654
     163,  -67.901840,    5.852761
     164,  -68.414634,    5.707317
     165,  -68.945455,    5.575758
     166,  -69.445783,    5.457831
     167,  -69.940120,    5.341317
     168,  -70.428571,    5.238095
     169,  -70.911243,    5.147929
     170,  -71.388235,    5.047059
     171,  -71.859649,    4.935673
     172,  -72.325581,    4.825581
     173,  -72.786127,    4.716763
     174,  -73.241379,    4.609195
     175,  -73.691429,    4.514286
     176,  -74.136364,    4.420455
     177,  -74.576271,    4.316384
     178,  -75.011236,    4.224719
     179,  -75.441341,    4.145251
     180,  -75.866667,    4.077778
     181,  -76.309392,    4.000000
     182,  -76.747253,    3.912088
     183,  -77.180328,    3.825137
     184,  -77.630435,    3.728261
     185,  -78.075676,    3.621622
     186,  -78.516129,    3.526882
     187,  -78.973262,    3.443850
     188,  -79.425532,    3.372340
     189,  -79.894180,    3.291005
     190,  -80.357895,    3.210526
     191,  -80.795812,    3.141361
     192,  -81.229167,    3.062500
     193,  -81.658031,    2.984456
     194,  -82.103093,    2.917526
     195,  -82.523077,    2.841026
     196,  -82.938776,    2.755102
     197,  -83.350254,    2.659898
     198,  -83.777778,    2.555556
     199,  -84.201005,    2.452261
     200,  -84.640000,    2.340000
     201,  -85.094527,    2.218905
     202,  -85.544554,    2.108911
     203,  -85.990148,    2.009852
     204,  -86.411765,    1.901961
     205,  -86.848780,    1.804878
     206,  -87.300971,    1.699029
     207,  -87.748792,    1.584541
     208,  -88.192308,    1.471154
     209,  -88.631579,    1.349282
     210,  -89.066667,    1.219048
     211,  -89.497630,    1.099526
     212,  -89.924528,    0.990566
     213,  -90.366197,    0.873239
     214,  -90.785047,    0.747664
     215,  -91.200000,    0.632558
     216,  -91.611111,    0.527778
     217,  -92.018433,    0.433180
     218,  -92.440367,    0.348624
     219,  -92.876712,    0.273973
     220,  -93.290909,    0.190909
     221,  -93.701357,    0.099548
     222,  -94.108108,    0.000000
     223,  -94.529148,   -0.107623
     224,  -94.964286,   -0.205357
     225,  -95.395556,   -0.293333
     226,  -95.858407,   -0.371681
     227,  -96.317181,   -0.440529
     228,  -96.771930,   -0.508772
     229,  -97.222707,   -0.585153
     230,  -97.686957,   -0.669565
     231,  -98.164502,   -0.761905
     232,  -98.620690,   -0.844828
     233,  -99.072961,   -0.927039
     234,  -99.521368,   -1.000000
     235,  -99.982979,   -1.080851
     236, -100.457627,   -1.169492
     237, -100.928270,   -1.265823
     238, -101.378151,   -1.352941
     239, -101.824268,   -1.430962
     240, -102.283333,   -1.500000
     241, -102.738589,   -1.560166
     242, -103.206612,   -1.628099
     243, -103.670782,   -1.687243
     244, -104.131148,   -1.737705
     245, -104.587755,   -1.787755
     246, -105.040650,   -1.829268
     247, -105.489879,   -1.862348
     248, -105.951613,   -1.887097
     249, -106.409639,   -1.903614
     250, -106.864000,   -1.912000
     251, -107.330677,   -1.912351
     252, -107.793651,   -1.912698
     253, -108.252964,   -1.913043
     254, -108.724409,   -1.921260
     255, -109.207843,   -1.921569
     256, -109.687500,   -1.921875
     257, -110.178988,   -1.929961
     258, -110.666667,   -1.937984
     259, -111.150579,   -1.945946
     260, -111.630769,   -1.953846
     261, -112.107280,   -1.961686
     262, -112.580153,   -1.977099
     263, -113.064639,   -2.000000
     264, -113.545455,   -2.022727
     265, -114.022642,   -2.045283
     266, -114.511278,   -2.075188
     267, -114.996255,   -2.104869
     268, -115.477612,   -2.126866
     269, -115.955390,   -2.156134
     270, -116.414815,   -2.177778
     271, -116.870849,   -2.199262
     272, -117.323529,   -2.220588
     273, -117.758242,   -2.234432
     274, -118.189781,   -2.248175
     275, -118.618182,   -2.269091
     276, -119.043478,   -2.282609
     277, -119.480144,   -2.288809
     278, -119.899281,   -2.287770
     279, -120.315412,   -2.293907
     280, -120.728571,   -2.292857
     281, -121.138790,   -2.284698
     282, -121.546099,   -2.283688
     283, -121.950530,   -2.275618
     284, -122.352113,   -2.267606
     285, -122.764912,   -2.252632
     286, -123.160839,   -2.230769
     287, -123.554007,   -2.216028
     288, -123.944444,   -2.201389
     289, -124.332180,   -2.186851
     290, -124.744828,   -2.179310
     291, -125.154639,   -2.178694
     292, -125.575342,   -2.184932
     293, -125.979522,   -2.184300
     294, -126.394558,   -2.176871
     295, -126.806780,   -2.169492
     296, -127.216216,   -2.168919
     297, -127.636364,   -2.175084
     298, -128.053691,   -2.174497
     299, -128.468227,   -2.173913
     300, -128.880000,   -2.180000
     301, -129.302326,   -2.179402
     302, -129.721854,   -2.178808
     303, -130.138614,   -2.178218
     304, -130.552632,   -2.171053
     305, -130.963934,   -2.157377
     306, -131.359477,   -2.137255
     307, -131.752443,   -2.123779
     308, -132.142857,   -2.110390
     309, -132.543689,   -2.103560
     310, -132.941935,   -2.096774
     311, -133.337621,   -2.096463
     312, -133.730769,   -2.096154
     313, -134.121406,   -2.095847
     314, -134.496815,   -2.101911
     315, -134.869841,   -2.114286
     316, -135.253165,   -2.120253
     317, -135.634069,   -2.119874
     318, -136.012579,   -2.113208
     319, -136.388715,   -2.100313
     320, -136.762500,   -2.081250
     321, -137.133956,   -2.068536
     322, -137.527950,   -2.049689
     323, -137.931889,   -2.024768
     324, -138.345679,   -1.993827
     325, -138.769231,   -1.969231
     326, -139.190184,   -1.938650
     327, -139.608563,   -1.914373
     328, -140.036585,   -1.884146
     329, -140.462006,   -1.860182
     330, -140.896970,   -1.830303
     331, -141.329305,   -1.800604
     332, -141.759036,   -1.771084
     333, -142.186186,   -1.741742
     334, -142.610778,   -1.712575
     335, -143.032836,   -1.683582
     336, -143.452381,   -1.654762
     337, -143.869436,   -1.620178
     338, -144.295858,   -1.579882
     339, -144.707965,   -1.545723
     340, -145.117647,   -1.505882
     341, -145.524927,   -1.460411
     342, -145.929825,   -1.421053
     343, -146.320700,   -1.376093
     344, -146.709302,   -1.331395
     345, -147.084058,   -1.281159
     346, -147.456647,   -1.225434
     347, -147.827089,   -1.175793
     348, -148.195402,   -1.120690
     349, -148.550143,   -1.060172
     350, -148.902857,   -1.000000
     351, -149.253561,   -0.940171
     352, -149.613636,   -0.886364
     353, -149.983003,   -0.827195
     354, -150.350282,   -0.762712
     355, -150.738028,   -0.692958
     356, -151.123596,   -0.629213
     357, -151.518207,   -0.571429
     358, -151.921788,   -0.508380
     359, -152.323120,   -0.440111
     360, -152.722222,   -0.366667
     361, -153.130194,   -0.288089
     362, -153.535912,   -0.204420
     363, -153.939394,   -0.121212
     364, -154.340659,   -0.043956
     365, -154.728767,    0.027397
     366, -155.114754,    0.098361
     367, -155.487738,    0.163488
     368, -155.858696,    0.233696
     369, -156.227642,    0.303523
     370, -156.583784,    0.367568
     371, -156.927224,    0.436658
     372, -157.268817,    0.500000
     373, -157.619303,    0.568365
     374, -157.967914,    0.631016
     375, -158.314667,    0.693333
     376, -158.659574,    0.755319
     377, -159.013263,    0.822281
     378, -159.365079,    0.883598
     379, -159.715040,    0.944591
     380, -160.063158,    1.005263
     381, -160.409449,    1.065617
     382, -160.764398,    1.130890
     383, -161.107050,    1.201044
     384, -161.427083,    1.265625
     385, -161.745455,    1.324675
     386, -162.072539,    1.388601
     387, -162.397933,    1.447028
     388, -162.721649,    1.505155
     389, -163.043702,    1.562982
     390, -163.364103,    1.620513
     391, -163.693095,    1.682864
     392, -164.020408,    1.750000
     393, -164.346056,    1.816794
     394, -164.670051,    1.888325
     395, -164.992405,    1.954430
     396, -165.313131,    2.020202
     397, -165.622166,    2.090680
     398, -165.929648,    2.155779
     399, -166.235589,    2.220551
     400, -166.540000,    2.280000
     401, -166.842893,    2.344140
     402, -167.144279,    2.407960
     403, -167.454094,    2.466501
     404, -167.772277,    2.529703
     405, -168.088889,    2.587654
     406, -168.394089,    2.650246
     407, -168.707617,    2.707617
     408, -169.019608,    2.764706
     409, -169.330073,    2.821516
     410, -169.639024,    2.878049
     411, -169.946472,    2.934307
     412, -170.252427,    2.995146
     413, -170.566586,    3.060533
     414, -170.879227,    3.130435
     415, -171.200000,    3.195181
     416, -171.528846,    3.254808
     417, -171.856115,    3.309353
     418, -172.181818,    3.358852
     419, -172.505967,    3.403341
     420, -172.828571,    3.442857
     421, -173.140143,    3.486936
     422, -173.440758,    3.526066
     423, -173.739953,    3.560284
     424, -174.056604,    3.599057
     425, -174.371765,    3.632941
     426, -174.685446,    3.666667
     427, -175.007026,    3.695550
     428, -175.317757,    3.728972
     429, -175.627040,    3.762238
     430, -175.925581,    3.800000
     431, -176.222738,    3.837587
     432, -176.518519,    3.875000
     433, -176.831409,    3.916859
     434, -177.142857,    3.958525
     435, -177.452874,    3.995402
     436, -177.779817,    4.036697
     437, -178.105263,    4.082380
     438, -178.429224,    4.127854
     439, -178.769932,    4.168565
     440, -179.109091,    4.209091
     441, -179.446712,    4.249433
     442, -179.791855,    4.294118
     443, -180.135440,    4.338600
     444, -180.477477,    4.382883
     445, -180.817978,    4.431461
     446, -181.165919,    4.484305
     447, -181.521253,    4.541387
     448, -181.883929,    4.602679
     449, -182.244989,    4.663697
     450, -182.604444,    4.724444
     451, -182.962306,    4.780488
     452, -183.318584,    4.836283
     453, -183.673289,    4.887417
     454, -184.026432,    4.938326
     455, -184.378022,    4.984615
     456, -184.728070,    5.035088
     457, -185.076586,    5.089716
     458, -185.441048,    5.148472
     459, -185.803922,    5.206972
     460, -186.165217,    5.265217
     461, -186.533623,    5.318872
     462, -186.909091,    5.376623
     463, -187.282937,    5.434125
     464, -187.655172,    5.491379
     465, -188.008602,    5.552688
     466, -188.360515,    5.613734
     467, -188.702355,    5.678801
     468, -189.042735,    5.743590
     469, -189.381663,    5.803838
     470, -189.702128,    5.859574
     471, -190.029724,    5.919321
     472, -190.364407,    5.983051
     473, -190.697674,    6.046512
     474, -191.029536,    6.109705
     475, -191.360000,    6.172632
     476, -191.680672,    6.239496
     477, -192.008386,    6.310273
     478, -192.334728,    6.380753
     479, -192.659708,    6.455115
     480, -192.991667,    6.533333
     481, -193.322245,    6.611227
     482, -193.651452,    6.688797
     483, -193.979296,    6.761905
     484, -194.297521,    6.830579
     485, -194.606186,    6.894845
     486, -194.913580,    6.954733
     487, -195.211499,    7.010267
     488, -195.508197,    7.069672
     489, -195.803681,    7.128834
     490, -196.106122,    7.183673
     491, -196.399185,    7.234216
     492, -196.691057,    7.284553
     493, -196.981744,    7.330629
     494, -197.279352,    7.380567
     495, -197.575758,    7.426263
     496, -197.870968,    7.467742
     497, -198.164990,    7.509054
     498, -198.457831,    7.550201
     499, -198.749499,    7.595190
     500, -199.040000,    7.636000
     501, -199.329341,    7.672655
     502, -199.617530,    7.709163
     503, -199.904573,    7.745527
     504, -200.190476,    7.777778
     505, -200.483168,    7.805941
     506, -200.766798,    7.837945
     507, -201.033531,    7.865878
     508, -201.291339,    7.897638
     509, -201.548134,    7.925344
     510, -201.811765,    7.949020
     511, -202.074364,    7.976517
     512, -202.343750,    8.007812
     513, -202.612086,    8.042885
     514, -202.887160,    8.081712
     515, -203.161165,    8.124272
     516, -203.426357,    8.162791
     517, -203.690522,    8.201161
     518, -203.945946,    8.235521
     519, -204.200385,    8.273603
     520, -204.453846,    8.315385
     521, -204.714012,    8.360845
     522, -204.973180,    8.406130
     523, -205.231358,    8.451243
     524, -205.496183,    8.500000
     525, -205.752381,    8.552381
     526, -206.007605,    8.604563
     527, -206.261860,    8.660342
     528, -206.515152,    8.712121
     529, -206.767486,    8.763705
     530, -207.018868,    8.815094
     531, -207.276836,    8.870056
     532, -207.548872,    8.928571
     533, -207.819887,    8.990619
     534, -208.089888,    9.052434
     535, -208.358879,    9.117757
     536, -208.626866,    9.182836
     537, -208.893855,    9.247672
     538, -209.159851,    9.308550
     539, -209.432282,    9.372913
     540, -209.703704,    9.440741
     541, -209.974122,    9.512015
     542, -210.250923,    9.579336
     543, -210.534070,    9.650092
     544, -210.816176,    9.720588
     545, -211.097248,    9.790826
     546, -211.377289,    9.860806
     547, -211.670932,    9.926874
     548, -211.963504,    9.992701
     549, -212.255009,   10.054645
     550, -212.545455,   10.116364
     551, -212.834846,   10.181488
     552, -213.123188,   10.246377
     553, -213.396022,   10.307414
     554, -213.675090,   10.364621
     555, -213.945946,   10.418018
     556, -214.215827,   10.471223
     557, -214.484740,   10.520646
     558, -214.759857,   10.566308
     559, -215.033989,   10.608229
     560, -215.307143,   10.650000
     561, -215.586453,   10.695187
     562, -215.871886,   10.736655
     563, -216.156306,   10.781528
     564, -216.439716,   10.822695
     565, -216.729204,   10.867257
     566, -217.017668,   10.911661
     567, -217.305115,   10.952381
     568, -217.591549,   10.989437
     569, -217.876977,   11.029877
     570, -218.161404,   11.070175
     571, -218.444834,   11.110333
     572, -218.727273,   11.150350
     573, -219.008726,   11.190227
     574, -219.289199,   11.229965
     575, -219.568696,   11.269565
     576, -219.847222,   11.312500
     577, -220.124783,   11.358752
     578, -220.401384,   11.401384
     579, -220.677029,   11.440415
     580, -220.951724,   11.475862
     581, -221.232358,   11.514630
     582, -221.505155,   11.556701
     583, -221.770154,   11.602058
     584, -222.034247,   11.643836
     585, -222.297436,   11.688889
     586, -222.559727,   11.733788
     587, -222.834753,   11.781942
     588, -223.108844,   11.833333
     589, -223.382003,   11.884550
     590, -223.661017,   11.932203
     591, -223.939086,   11.979695
     592, -224.216216,   12.030405
     593, -224.492411,   12.084317
     594, -224.767677,   12.141414
     595, -225.042017,   12.194958
     596, -225.308725,   12.244966
     597, -225.561139,   12.291457
     598, -225.806020,   12.341137
     599, -226.050083,   12.390651
     600, -226.293333,   12.440000
     601, -226.549085,   12.492512
     602, -226.810631,   12.548173
     603, -227.071310,   12.603648
     604, -227.331126,   12.655629
     605, -227.590083,   12.707438
     606, -227.848185,   12.759076
     607, -228.105437,   12.813839
     608, -228.355263,   12.871711
     609, -228.604269,   12.926108
     610, -228.852459,   12.983607
     611, -229.099836,   13.044190
     612, -229.346405,   13.101307
     613, -229.585644,   13.161501
     614, -229.830619,   13.224756
     615, -230.074797,   13.287805
     616, -230.311688,   13.353896
     617, -230.547812,   13.423015
     618, -230.783172,   13.495146
     619, -231.017771,   13.567044
     620, -231.251613,   13.641935
     621, -231.491143,   13.713366
     622, -231.729904,   13.784566
     623, -231.967897,   13.852327
     624, -232.211538,   13.916667
     625, -232.454400,   13.984000
     626, -232.696486,   14.054313
     627, -232.937799,   14.124402
     628, -233.178344,   14.191083
     629, -233.418124,   14.257552
     630, -233.657143,   14.323810
     631, -233.901743,   14.393027
     632, -234.151899,   14.465190
     633, -234.401264,   14.537125
     634, -234.649842,   14.605678
     635, -234.897638,   14.677165
     636, -235.144654,   14.745283
     637, -235.384615,   14.810047
     638, -235.623824,   14.874608
     639, -235.874804,   14.942097
     640, -236.125000,   15.006250
     641, -236.374415,   15.070203
     642, -236.623053,   15.133956
     643, -236.870918,   15.200622
     644, -237.124224,   15.263975
     645, -237.370543,   15.330233
     646, -237.616099,   15.396285
     647, -237.860896,   15.465224
     648, -238.104938,   15.537037
     649, -238.348228,   15.611710
     650, -238.590769,   15.689231
     651, -238.832565,   15.769585
     652, -239.073620,   15.849693
     653, -239.313936,   15.932619
     654, -239.553517,   16.018349
     655, -239.792366,   16.103817
     656, -240.030488,   16.185976
     657, -240.261796,   16.270928
     658, -240.486322,   16.352584
     659, -240.710167,   16.430956
     660, -240.933333,   16.509091
     661, -241.161876,   16.590015
     662, -241.383686,   16.667674
     663, -241.604827,   16.748115
     664, -241.825301,   16.828313
     665, -242.039098,   16.905263
     666, -242.252252,   16.984985
     667, -242.458771,   17.067466
     668, -242.670659,   17.152695
     669, -242.875934,   17.240658
     670, -243.074627,   17.331343
     671, -243.272727,   17.421759
     672, -243.470238,   17.511905
     673, -243.667162,   17.598811
     674, -243.863501,   17.685460
     675, -244.059259,   17.771852
     676, -244.254438,   17.857988
     677, -244.449040,   17.940916
     678, -244.637168,   18.026549
     679, -244.818851,   18.108984
     680, -245.000000,   18.191176
     681, -245.186490,   18.276065
     682, -245.372434,   18.360704
     683, -245.557833,   18.445095
     684, -245.742690,   18.529240
     685, -245.927007,   18.616058
     686, -246.104956,   18.699708
     687, -246.282387,   18.780204
     688, -246.459302,   18.857558
     689, -246.635704,   18.934688
     690, -246.811594,   19.011594
     691, -246.986975,   19.091172
     692, -247.161850,   19.173410
     693, -247.336219,   19.255411
     694, -247.510086,   19.337176
     695, -247.683453,   19.418705
     696, -247.856322,   19.500000
     697, -248.022956,   19.578192
     698, -248.189112,   19.653295
     699, -248.349070,   19.731044
     700, -248.508571,   19.805714
     701, -248.667618,   19.883024
     702, -248.826211,   19.957265
     703, -248.984353,   20.028450
     704, -249.147727,   20.096591
     705, -249.310638,   20.164539
     706, -249.473088,   20.229462
     707, -249.629420,   20.291372
     708, -249.785311,   20.353107
     709, -249.940762,   20.417489
     710, -250.095775,   20.481690
     711, -250.250352,   20.545710
     712, -250.410112,   20.612360
     713, -250.569425,   20.678822
     714, -250.733894,   20.747899
     715, -250.897902,   20.816783
     716, -251.061453,   20.888268
     717, -251.224547,   20.956764
     718, -251.387187,   21.022284
     719, -251.543811,   21.090403
     720, -251.700000,   21.161111
     721, -251.855756,   21.228849
     722, -252.011080,   21.296399
     723, -252.160443,   21.366528
     724, -252.314917,   21.433702
     725, -252.468966,   21.500690
     726, -252.622590,   21.567493
     727, -252.775791,   21.634113
     728, -252.917582,   21.697802
     729, -253.053498,   21.758573
     730, -253.189041,   21.819178
     731, -253.324213,   21.879617
     732, -253.464481,   21.937158
     733, -253.604366,   21.997271
     734, -253.743869,   22.059946
     735, -253.877551,   22.119728
     736, -254.016304,   22.176630
     737, -254.149254,   22.230665
     738, -254.281843,   22.284553
     739, -254.408660,   22.335589
     740, -254.535135,   22.386486
     741, -254.655870,   22.439946
     742, -254.776280,   22.495957
     743, -254.896366,   22.551817
     744, -255.016129,   22.607527
     745, -255.135570,   22.660403
     746, -255.254692,   22.710456
     747, -255.373494,   22.757697
     748, -255.497326,   22.802139
     749, -255.620828,   22.849132
     750, -255.744000,   22.896000
     751, -255.866844,   22.945406
     752, -255.984043,   22.992021
     753, -256.106242,   23.035857
     754, -256.228117,   23.079576
     755, -256.354967,   23.120530
     756, -256.486772,   23.164021
     757, -256.623514,   23.210040
     758, -256.759894,   23.258575
     759, -256.895916,   23.304348
     760, -257.036842,   23.347368
     761, -257.177398,   23.387648
     762, -257.317585,   23.427822
     763, -257.457405,   23.467890
     764, -257.596859,   23.507853
     765, -257.735948,   23.550327
     766, -257.874674,   23.592689
     767, -258.013038,   23.634941
     768, -258.151042,   23.677083
     769, -258.288687,   23.721717
     770, -258.425974,   23.766234
     771, -258.557717,   23.813230
     772, -258.683938,   23.862694
     773, -258.815006,   23.909444
     774, -258.945736,   23.956072
     775, -259.081290,   24.005161
     776, -259.216495,   24.054124
     777, -259.346203,   24.100386
     778, -259.480720,   24.143959
     779, -259.620026,   24.184852
     780, -259.764103,   24.223077
     781, -259.907810,   24.258643
     782, -260.051151,   24.296675
     783, -260.189017,   24.332056
     784, -260.316327,   24.364796
     785, -260.443312,   24.397452
     786, -260.559796,   24.427481
     787, -260.681067,   24.459975
     788, -260.807107,   24.489848
     789, -260.932826,   24.517110
     790, -261.058228,   24.544304
     791, -261.183312,   24.571429
     792, -261.308081,   24.601010
     793, -261.437579,   24.633039
     794, -261.566751,   24.667506
     795, -261.690566,   24.704403
     796, -261.809045,   24.738693
     797, -261.927227,   24.772898
     798, -262.040100,   24.809524
     799, -262.147685,   24.843554
     800, -262.250000,   24.875000
     801, -262.352060,   24.903870
     802, -262.453865,   24.930175
     803, -262.555417,   24.956413
     804, -262.661692,   24.980100
     805, -262.767702,   25.006211
     806, -262.873449,   25.029777
     807, -262.978934,   25.053284
     808, -263.079208,   25.079208
     809, -263.179234,   25.102596
     810, -263.279012,   25.125926
     811, -263.378545,   25.149199
     812, -263.487685,   25.169951
     813, -263.596556,   25.190652
     814, -263.700246,   25.208845
     815, -263.803681,   25.229448
     816, -263.906863,   25.252451
     817, -264.014688,   25.272950
     818, -264.122249,   25.293399
     819, -264.229548,   25.316239
     820, -264.336585,   25.341463
     821, -264.443362,   25.364190
     822, -264.549878,   25.386861
     823, -264.651276,   25.411908
     824, -264.747573,   25.434466
     825, -264.848485,   25.459394
     826, -264.949153,   25.484262
     827, -265.049577,   25.506651
     828, -265.149758,   25.528986
     829, -265.249698,   25.553679
     830, -265.349398,   25.580723
     831, -265.448857,   25.607702
     832, -265.552885,   25.632212
     833, -265.656663,   25.659064
     834, -265.760192,   25.685851
     835, -265.863473,   25.712575
     836, -265.961722,   25.741627
     837, -266.059737,   25.772999
     838, -266.157518,   25.806683
     839, -266.250298,   25.842670
     840, -266.342857,   25.878571
     841, -266.435196,   25.914388
     842, -266.522565,   25.952494
     843, -266.614472,   25.992883
     844, -266.706161,   26.035545
     845, -266.797633,   26.080473
     846, -266.888889,   26.125296
     847, -266.975207,   26.167651
     848, -267.061321,   26.209906
     849, -267.147232,   26.249706
     850, -267.232941,   26.287059
     851, -267.318449,   26.326675
     852, -267.408451,   26.368545
     853, -267.493552,   26.407972
     854, -267.573770,   26.449649
     855, -267.653801,   26.491228
     856, -267.733645,   26.532710
     857, -267.813302,   26.571762
     858, -267.892774,   26.613054
     859, -267.972061,   26.654249
     860, -268.051163,   26.695349
     861, -268.130081,   26.734030
     862, -268.204176,   26.770302
     863, -268.278100,   26.806489
     864, -268.351852,   26.844907
     865, -268.420809,   26.885549
     866, -268.494226,   26.928406
     867, -268.567474,   26.973472
     868, -268.645161,   27.016129
     869, -268.722670,   27.058688
     870, -268.795402,   27.098851
     871, -268.867968,   27.138921
     872, -268.940367,   27.181193
     873, -269.012600,   27.223368
     874, -269.084668,   27.265446
     875, -269.165714,   27.305143
     876, -269.251142,   27.342466
     877, -269.331813,   27.381984
     878, -269.412301,   27.419134
     879, -269.492605,   27.453925
     880, -269.577273,   27.490909
     881, -269.661748,   27.525539
     882, -269.746032,   27.562358
     883, -269.830125,   27.599094
     884, -269.914027,   27.633484
     885, -269.997740,   27.670056
     886, -270.081264,   27.704289
     887, -270.169109,   27.740699
     888, -270.256757,   27.777027
     889, -270.344207,   27.813273
     890, -270.431461,   27.849438
     891, -270.523008,   27.887767
     892, -270.614350,   27.926009
     893, -270.701008,   27.966405
     894, -270.787472,   28.004474
     895, -270.873743,   28.042458
     896, -270.959821,   28.078125
     897, -271.045708,   28.111483
     898, -271.131403,   28.142539
     899, -271.221357,   28.171301
     900, -271.306667,   28.202222
     901, -271.391787,   28.235294
     902, -271.472284,   28.266075
     903, -271.552602,   28.299003
     904, -271.632743,   28.331858
     905, -271.708287,   28.362431
     906, -271.779249,   28.395143
     907, -271.850055,   28.427784
